record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS,"1,000km",1000,1000,,大阪府,2026-01,,,,,1334000,,,133.4
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS,"1,000km",1000,1000,,兵庫県,2026-03,,,,,1413000,,,141.3
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS 4WD,"1,000km",1000,1000,,埼玉県,2025-02,,,,,1583000,,,158.3
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS 4WD,"1,000km",1000,1000,,埼玉県,2025-02,,,,,1609000,,,160.9
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS 4WD,"1,000km",1000,1000,,東京都,2025-05,,,,,1620000,,,162.0
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,X,"3,000km",3000,3000,,大分県,2025-10,,,,,1310000,,,131.0
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS 4WD,"3,000km",3000,3000,,愛媛県,2025-09,,,,,1650000,,,165.0
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS,"7,000km",7000,7000,,静岡県,2026-02,,,,,1035000,,,103.5
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS 4WD,"8,000km",8000,8000,,高知県,2025-09,,,,,1632000,,,163.2
appraisal_record,kurumaerabi_kaitori,10/5702,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/5702/,20260416_145700,ダイハツ,アトレー,daihatsu-atrai,,2025,2025年式,RS 4WD,1万km,10000,10000,,島根県,2026-02,,,,,1660000,,,166.0
