record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2016,2016年式,1.5 CX スペシャル 4WD,"33,000km",33000,33000,,山口県,2023-04,,,,,118000,,,11.8
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2016,2016年式,1.5 CX リミテッド 4WD,"58,000km",58000,58000,,岐阜県,2021-03,,,,,100000,,,10.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX スペシャル 4WD,"18,000km",18000,18000,,岐阜県,2025-03,,,,,602000,,,60.2
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX スペシャル 4WD,"67,000km",67000,67000,,大阪府,2020-09,,,,,650000,,,65.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX スペシャル 4WD,9万km,90000,90000,,長野県,2020-07,,,,,504000,,,50.4
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX リミテッド 4WD,"139,000km",139000,139000,,徳島県,2024-06,,,,,606000,,,60.6
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX スペシャル 4WD,"151,000km",151000,151000,,東京都,2025-03,,,,,430000,,,43.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX スペシャル 4WD,"151,000km",151000,151000,,群馬県,2025-03,,,,,430000,,,43.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX リミテッド 4WD,"178,000km",178000,178000,,山梨県,2024-08,,,,,730000,,,73.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX スペシャル 4WD,"183,000km",183000,183000,,広島県,2024-10,,,,,561000,,,56.1
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX リミテッド 4WD,"188,000km",188000,188000,,香川県,2024-06,,,,,500000,,,50.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2015,2015年式,1.5 CX スペシャル 4WD,"255,000km",255000,255000,,鹿児島県,2024-03,,,,,376000,,,37.6
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,"26,000km",26000,26000,,岩手県,2020-06,,,,,693000,,,69.3
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド,"32,000km",32000,32000,,新潟県,2022-04,,,,,500000,,,50.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX スペシャル,"33,000km",33000,33000,,福島県,2022-09,,,,,462000,,,46.2
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX スペシャル,"34,000km",34000,34000,,神奈川県,2025-02,,,,,600000,,,60.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド,"69,000km",69000,69000,,徳島県,2025-09,,,,,517000,,,51.7
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX スペシャル,"73,000km",73000,73000,,広島県,2022-07,,,,,564000,,,56.4
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,"75,000km",75000,75000,,石川県,2022-12,,,,,683000,,,68.3
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,8万km,80000,80000,,山口県,2020-11,,,,,639000,,,63.9
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,8万km,80000,80000,,京都府,2020-11,,,,,639000,,,63.9
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,"104,000km",104000,104000,,広島県,2025-09,,,,,700000,,,70.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,"108,000km",108000,108000,,群馬県,2024-12,,,,,455000,,,45.5
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,"118,000km",118000,118000,,福井県,2023-04,,,,,610000,,,61.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,"127,000km",127000,127000,,徳島県,2024-11,,,,,436000,,,43.6
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,"136,000km",136000,136000,,愛知県,2021-03,,,,,613000,,,61.3
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX スペシャル 4WD,"143,000km",143000,143000,,埼玉県,2024-12,,,,,503000,,,50.3
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド,"169,000km",169000,169000,,千葉県,2024-08,,,,,461000,,,46.1
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX スペシャル 4WD,"188,000km",188000,188000,,島根県,2025-07,,,,,349000,,,34.9
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2014,2014年式,1.5 CX リミテッド 4WD,22万km,220000,220000,,岡山県,2025-12,,,,,420000,,,42.0
appraisal_record,kurumaerabi_kaitori,10/9746,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/9746/,20260416_145711,ダイハツ,ビーゴ,daihatsu-be-go,,2013,2013年式,1.5 CX リミテッド,"23,000km",23000,23000,,鳥取県,2019-01,,,,,675000,,,67.5
