record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2012,2012年式,カスタム,"63,000km",63000,63000,,熊本県,2022-01,,,,,281000,,,28.1
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,1万km,10000,10000,,群馬県,2021-07,,,,,122000,,,12.2
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,1万km,10000,10000,,徳島県,2023-10,,,,,132000,,,13.2
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,1万km,10000,10000,,奈良県,2021-07,,,,,205000,,,20.5
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,1万km,10000,10000,,宮城県,2022-03,,,,,328000,,,32.8
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,カスタム,"11,000km",11000,11000,,千葉県,2023-04,,,,,223000,,,22.3
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"11,000km",11000,11000,,広島県,2022-07,,,,,298000,,,29.8
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"12,000km",12000,12000,,富山県,2023-08,,,,,198000,,,19.8
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,カスタム,"12,000km",12000,12000,,新潟県,2021-11,,,,,351000,,,35.1
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"15,000km",15000,15000,,茨城県,2021-10,,,,,79000,,,7.9
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"21,000km",21000,21000,,香川県,2023-10,,,,,126000,,,12.6
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"22,000km",22000,22000,,広島県,2025-02,,,,,202000,,,20.2
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"23,000km",23000,23000,,愛媛県,2024-08,,,,,126000,,,12.6
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"24,000km",24000,24000,,福岡県,2024-09,,,,,157000,,,15.7
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"25,000km",25000,25000,,大分県,2021-05,,,,,170000,,,17.0
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,カスタム,"25,000km",25000,25000,,愛知県,2025-03,,,,,317000,,,31.7
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"26,000km",26000,26000,,埼玉県,2022-04,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D 4WD,"26,000km",26000,26000,,新潟県,2022-12,,,,,199000,,,19.9
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,X,"27,000km",27000,27000,,岐阜県,2024-08,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"27,000km",27000,27000,,宮城県,2021-01,,,,,172000,,,17.2
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"28,000km",28000,28000,,神奈川県,2024-05,,,,,112000,,,11.2
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,X,"28,000km",28000,28000,,大阪府,2025-02,,,,,227000,,,22.7
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"29,000km",29000,29000,,栃木県,2022-06,,,,,202000,,,20.2
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"29,000km",29000,29000,,埼玉県,2024-10,,,,,315000,,,31.5
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,3万km,30000,30000,,福井県,2021-12,,,,,172000,,,17.2
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"31,000km",31000,31000,,愛知県,2024-05,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"31,000km",31000,31000,,富山県,2022-12,,,,,166000,,,16.6
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"31,000km",31000,31000,,宮崎県,2022-05,,,,,188000,,,18.8
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"31,000km",31000,31000,,鳥取県,2022-07,,,,,210000,,,21.0
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"31,000km",31000,31000,,千葉県,2024-10,,,,,232000,,,23.2
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"31,000km",31000,31000,,福井県,2021-11,,,,,246000,,,24.6
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,カスタム,"32,000km",32000,32000,,埼玉県,2022-01,,,,,317000,,,31.7
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"33,000km",33000,33000,,広島県,2023-06,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"33,000km",33000,33000,,滋賀県,2023-12,,,,,115000,,,11.5
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"33,000km",33000,33000,,石川県,2021-12,,,,,204000,,,20.4
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"34,000km",34000,34000,,宮崎県,2021-05,,,,,73000,,,7.3
appraisal_record,kurumaerabi_kaitori,10/10436,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/10436/,20260416_145707,ダイハツ,エッセ,daihatsu-esse,,2011,2011年式,D,"34,000km",34000,34000,,大阪府,2021-06,,,,,122000,,,12.2
