record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,クルーズ,"2,000km",2000,2000,,島根県,2025-11,,,,,910000,,,91.0
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,デラックス,"3,000km",3000,3000,,福岡県,2026-02,,,,,812000,,,81.2
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,デラックス,"3,000km",3000,3000,,千葉県,2026-02,,,,,916000,,,91.6
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,クルーズ 4WD,"3,000km",3000,3000,,石川県,2025-01,,,,,940000,,,94.0
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,デラックス,"6,000km",6000,6000,,千葉県,2025-06,,,,,628000,,,62.8
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,デラックス,"8,000km",8000,8000,,神奈川県,2025-02,,,,,911000,,,91.1
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,デラックス,"25,000km",25000,25000,,香川県,2026-01,,,,,808000,,,80.8
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,デラックス 4WD,"29,000km",29000,29000,,群馬県,2025-10,,,,,945000,,,94.5
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,デラックス,"52,000km",52000,52000,,岡山県,2025-11,,,,,910000,,,91.0
appraisal_record,kurumaerabi_kaitori,10/2688,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/2688/,20260416_145659,ダイハツ,ハイゼットカーゴ,daihatsu-hijet-cargo,,2024,2024年式,クルーズ ハイルーフ 4WD,"105,000km",105000,105000,,福島県,2025-03,,,,,50000,,,5.0
