record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,L SAIII 4WD,"1,000km",1000,1000,,和歌山県,2026-01,,,,,748000,,,74.8
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,X SAIII,"1,000km",1000,1000,,奈良県,2026-01,,,,,946000,,,94.6
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,L SAIII,"2,000km",2000,2000,,熊本県,2025-09,,,,,812000,,,81.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,X SAIII 4WD,"2,000km",2000,2000,,兵庫県,2026-01,,,,,925000,,,92.5
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,L SAIII,"3,000km",3000,3000,,愛知県,2026-04,,,,,702000,,,70.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,L SAIII,"3,000km",3000,3000,,富山県,2026-02,,,,,720000,,,72.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,L SAIII,"4,000km",4000,4000,,愛知県,2026-04,,,,,702000,,,70.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,X SAIII,"4,000km",4000,4000,,徳島県,2025-12,,,,,914000,,,91.4
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,L SAIII,"5,000km",5000,5000,,愛知県,2026-04,,,,,702000,,,70.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,L SAIII,"5,000km",5000,5000,,愛知県,2026-04,,,,,702000,,,70.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,X SAIII,"5,000km",5000,5000,,長崎県,2025-10,,,,,812000,,,81.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,L SAIII,"11,000km",11000,11000,,新潟県,2026-03,,,,,770000,,,77.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2025,2025年式,X SAIII,"11,000km",11000,11000,,愛知県,2025-11,,,,,896000,,,89.6
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,L SAIII,"1,000km",1000,1000,,福井県,2025-02,,,,,750000,,,75.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,L SAIII,"1,000km",1000,1000,,兵庫県,2025-11,,,,,770000,,,77.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"1,000km",1000,1000,,徳島県,2024-12,,,,,924000,,,92.4
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"1,000km",1000,1000,,富山県,2025-03,,,,,925000,,,92.5
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,L SAIII,"2,000km",2000,2000,,岩手県,2025-06,,,,,100000,,,10.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,G リミテッド SAIII,"2,000km",2000,2000,,愛媛県,2024-11,,,,,842000,,,84.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"2,000km",2000,2000,,鹿児島県,2025-10,,,,,885000,,,88.5
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"2,000km",2000,2000,,奈良県,2025-06,,,,,920000,,,92.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII 4WD,"2,000km",2000,2000,,長崎県,2025-08,,,,,925000,,,92.5
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"2,000km",2000,2000,,香川県,2025-12,,,,,930000,,,93.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"2,000km",2000,2000,,高知県,2024-11,,,,,941000,,,94.1
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"2,000km",2000,2000,,宮崎県,2026-02,,,,,948000,,,94.8
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,L SAIII,"3,000km",3000,3000,,青森県,2024-10,,,,,805000,,,80.5
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X SAIII,"3,000km",3000,3000,,沖縄県,2025-10,,,,,818000,,,81.8
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X SAIII,"3,000km",3000,3000,,広島県,2025-12,,,,,932000,,,93.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,L SAIII,"4,000km",4000,4000,,秋田県,2025-01,,,,,679000,,,67.9
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,L SAIII,"4,000km",4000,4000,,東京都,2025-10,,,,,735000,,,73.5
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"4,000km",4000,4000,,滋賀県,2025-03,,,,,855000,,,85.5
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"4,000km",4000,4000,,静岡県,2025-03,,,,,855000,,,85.5
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII 4WD,"4,000km",4000,4000,,鳥取県,2026-01,,,,,890000,,,89.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,G リミテッド SAIII,"4,000km",4000,4000,,富山県,2025-02,,,,,902000,,,90.2
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X リミテッド SAIII,"4,000km",4000,4000,,宮城県,2025-01,,,,,910000,,,91.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X SAIII,"5,000km",5000,5000,,愛知県,2025-04,,,,,930000,,,93.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,X SAIII,"5,000km",5000,5000,,京都府,2025-04,,,,,930000,,,93.0
appraisal_record,kurumaerabi_kaitori,10/21829,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/21829/,20260416_145619,ダイハツ,ミライース,daihatsu-mira-es,,2024,2024年式,L SAIII,"6,000km",6000,6000,,島根県,2024-09,,,,,810000,,,81.0
