record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2024,2024年式,G SAIII,"11,000km",11000,11000,,高知県,2026-03,,,,,815000,,,81.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2024,2024年式,G SAIII,0万km,0,0,,大分県,2025-02,,,,,689000,,,68.9
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"1,000km",1000,1000,,愛知県,2025-01,,,,,897000,,,89.7
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"1,000km",1000,1000,,富山県,2024-09,,,,,950000,,,95.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"1,000km",1000,1000,,徳島県,2023-06,,,,,960000,,,96.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"1,000km",1000,1000,,新潟県,2024-03,,,,,1010000,,,101.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"2,000km",2000,2000,,三重県,2025-10,,,,,575000,,,57.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"2,000km",2000,2000,,石川県,2024-11,,,,,604000,,,60.4
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"2,000km",2000,2000,,静岡県,2024-12,,,,,781000,,,78.1
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"2,000km",2000,2000,,鹿児島県,2025-02,,,,,803000,,,80.3
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"2,000km",2000,2000,,山梨県,2023-09,,,,,904000,,,90.4
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"2,000km",2000,2000,,新潟県,2023-08,,,,,940000,,,94.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"2,000km",2000,2000,,熊本県,2023-06,,,,,947000,,,94.7
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"2,000km",2000,2000,,福井県,2023-10,,,,,955000,,,95.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"2,000km",2000,2000,,愛媛県,2024-04,,,,,1071000,,,107.1
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"2,000km",2000,2000,,神奈川県,2024-03,,,,,1104000,,,110.4
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"3,000km",3000,3000,,富山県,2023-08,,,,,840000,,,84.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"3,000km",3000,3000,,埼玉県,2023-12,,,,,865000,,,86.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"3,000km",3000,3000,,和歌山県,2024-10,,,,,1044000,,,104.4
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"3,000km",3000,3000,,滋賀県,2024-05,,,,,1052000,,,105.2
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"3,000km",3000,3000,,広島県,2025-03,,,,,1106000,,,110.6
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"4,000km",4000,4000,,秋田県,2024-11,,,,,534000,,,53.4
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"4,000km",4000,4000,,佐賀県,2025-09,,,,,578000,,,57.8
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"4,000km",4000,4000,,福岡県,2025-10,,,,,580000,,,58.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"4,000km",4000,4000,,大阪府,2025-04,,,,,795000,,,79.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"4,000km",4000,4000,,静岡県,2025-11,,,,,1040000,,,104.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"4,000km",4000,4000,,長野県,2025-01,,,,,1074000,,,107.4
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"5,000km",5000,5000,,熊本県,2026-03,,,,,660000,,,66.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"5,000km",5000,5000,,秋田県,2025-11,,,,,787000,,,78.7
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"5,000km",5000,5000,,愛知県,2025-11,,,,,948000,,,94.8
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"5,000km",5000,5000,,広島県,2025-06,,,,,955000,,,95.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"5,000km",5000,5000,,京都府,2024-04,,,,,998000,,,99.8
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"5,000km",5000,5000,,高知県,2024-03,,,,,1065000,,,106.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"6,000km",6000,6000,,山形県,2024-12,,,,,915000,,,91.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"6,000km",6000,6000,,福岡県,2025-02,,,,,971000,,,97.1
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"6,000km",6000,6000,,三重県,2025-03,,,,,1000000,,,100.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"6,000km",6000,6000,,大阪府,2025-03,,,,,1000000,,,100.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"7,000km",7000,7000,,福岡県,2024-03,,,,,781000,,,78.1
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"7,000km",7000,7000,,山形県,2025-06,,,,,1026000,,,102.6
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"7,000km",7000,7000,,奈良県,2024-10,,,,,1083000,,,108.3
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"7,000km",7000,7000,,秋田県,2025-07,,,,,1097000,,,109.7
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,"8,000km",8000,8000,,山形県,2025-12,,,,,772000,,,77.2
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"8,000km",8000,8000,,滋賀県,2025-05,,,,,995000,,,99.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"8,000km",8000,8000,,香川県,2024-04,,,,,1076000,,,107.6
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,L SAIII,1万km,10000,10000,,福井県,2024-11,,,,,781000,,,78.1
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"11,000km",11000,11000,,茨城県,2024-01,,,,,781000,,,78.1
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"11,000km",11000,11000,,福井県,2024-06,,,,,925000,,,92.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"11,000km",11000,11000,,福岡県,2026-03,,,,,1056000,,,105.6
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"12,000km",12000,12000,,滋賀県,2025-04,,,,,980000,,,98.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"12,000km",12000,12000,,兵庫県,2025-04,,,,,980000,,,98.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"14,000km",14000,14000,,宮城県,2026-01,,,,,980000,,,98.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"17,000km",17000,17000,,宮城県,2025-12,,,,,1115000,,,111.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"18,000km",18000,18000,,山口県,2025-03,,,,,933000,,,93.3
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,2万km,20000,20000,,鳥取県,2024-10,,,,,733000,,,73.3
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,2万km,20000,20000,,佐賀県,2026-02,,,,,975000,,,97.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII 4WD,"21,000km",21000,21000,,群馬県,2023-12,,,,,771000,,,77.1
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"22,000km",22000,22000,,宮崎県,2025-01,,,,,942000,,,94.2
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"24,000km",24000,24000,,長崎県,2026-02,,,,,695000,,,69.5
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"24,000km",24000,24000,,秋田県,2025-12,,,,,708000,,,70.8
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"27,000km",27000,27000,,佐賀県,2025-01,,,,,333000,,,33.3
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"27,000km",27000,27000,,高知県,2025-08,,,,,800000,,,80.0
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"32,000km",32000,32000,,茨城県,2025-08,,,,,593000,,,59.3
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"42,000km",42000,42000,,京都府,2025-05,,,,,806000,,,80.6
appraisal_record,kurumaerabi_kaitori,10/22755,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/22755/,20260416_145622,ダイハツ,ミラトコット,daihatsu-mira-tocot,,2023,2023年式,G SAIII,"59,000km",59000,59000,,長崎県,2026-03,,,,,630000,,,63.0
