record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2019,2019年式,TX,"14,000km",14000,14000,,奈良県,2023-12,,,,,117000,,,11.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,TX,"7,000km",7000,7000,,和歌山県,2023-06,,,,,335000,,,33.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,TX 4WD,"19,000km",19000,19000,,青森県,2024-06,,,,,180000,,,18.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,X スペシャル,"23,000km",23000,23000,,青森県,2024-02,,,,,260000,,,26.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,TX 4WD,"24,000km",24000,24000,,香川県,2024-02,,,,,265000,,,26.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,X リミテッド,"26,000km",26000,26000,,高知県,2023-04,,,,,330000,,,33.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,TX 4WD,"32,000km",32000,32000,,愛媛県,2024-02,,,,,184000,,,18.4
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,TX,"37,000km",37000,37000,,東京都,2025-07,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,TX,"38,000km",38000,38000,,岩手県,2024-06,,,,,260000,,,26.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,X スペシャル 4WD,"54,000km",54000,54000,,石川県,2025-04,,,,,312000,,,31.2
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,X スペシャル,"54,000km",54000,54000,,山梨県,2023-05,,,,,395000,,,39.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,TX,"67,000km",67000,67000,,福島県,2025-10,,,,,261000,,,26.1
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2018,2018年式,TX スペシャル,"112,000km",112000,112000,,愛知県,2024-04,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"6,000km",6000,6000,,神奈川県,2024-09,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"6,000km",6000,6000,,京都府,2023-10,,,,,184000,,,18.4
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"9,000km",9000,9000,,高知県,2022-11,,,,,405000,,,40.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"13,000km",13000,13000,,兵庫県,2023-10,,,,,277000,,,27.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"13,000km",13000,13000,,岐阜県,2024-11,,,,,409000,,,40.9
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X,"14,000km",14000,14000,,徳島県,2026-02,,,,,296000,,,29.6
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"14,000km",14000,14000,,福岡県,2023-04,,,,,400000,,,40.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"15,000km",15000,15000,,岩手県,2025-05,,,,,157000,,,15.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"16,000km",16000,16000,,大分県,2025-01,,,,,167000,,,16.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"18,000km",18000,18000,,神奈川県,2026-02,,,,,172000,,,17.2
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"18,000km",18000,18000,,宮城県,2025-01,,,,,395000,,,39.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"22,000km",22000,22000,,和歌山県,2025-08,,,,,27000,,,2.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"22,000km",22000,22000,,京都府,2023-09,,,,,180000,,,18.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"23,000km",23000,23000,,岡山県,2023-08,,,,,153000,,,15.3
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"24,000km",24000,24000,,山口県,2024-03,,,,,305000,,,30.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"25,000km",25000,25000,,鳥取県,2023-06,,,,,183000,,,18.3
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"25,000km",25000,25000,,島根県,2024-10,,,,,337000,,,33.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"26,000km",26000,26000,,静岡県,2024-12,,,,,395000,,,39.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"27,000km",27000,27000,,島根県,2025-10,,,,,184000,,,18.4
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"28,000km",28000,28000,,香川県,2024-02,,,,,201000,,,20.1
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,3万km,30000,30000,,和歌山県,2023-12,,,,,132000,,,13.2
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"31,000km",31000,31000,,宮城県,2024-08,,,,,243000,,,24.3
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"33,000km",33000,33000,,福岡県,2024-05,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"35,000km",35000,35000,,山梨県,2023-02,,,,,202000,,,20.2
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"35,000km",35000,35000,,埼玉県,2025-03,,,,,205000,,,20.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"35,000km",35000,35000,,島根県,2023-08,,,,,290000,,,29.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"36,000km",36000,36000,,東京都,2025-06,,,,,273000,,,27.3
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"38,000km",38000,38000,,東京都,2026-02,,,,,187000,,,18.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル,"38,000km",38000,38000,,高知県,2024-04,,,,,343000,,,34.3
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,4万km,40000,40000,,神奈川県,2023-11,,,,,121000,,,12.1
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,4万km,40000,40000,,島根県,2023-06,,,,,134000,,,13.4
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,4万km,40000,40000,,福島県,2024-07,,,,,163000,,,16.3
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"41,000km",41000,41000,,和歌山県,2022-11,,,,,165000,,,16.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"41,000km",41000,41000,,青森県,2025-05,,,,,355000,,,35.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"42,000km",42000,42000,,島根県,2023-12,,,,,156000,,,15.6
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"43,000km",43000,43000,,神奈川県,2025-10,,,,,64000,,,6.4
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"43,000km",43000,43000,,大阪府,2023-09,,,,,156000,,,15.6
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"44,000km",44000,44000,,三重県,2025-03,,,,,215000,,,21.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"45,000km",45000,45000,,愛知県,2024-01,,,,,117000,,,11.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,X スペシャル 4WD,"45,000km",45000,45000,,熊本県,2023-02,,,,,364000,,,36.4
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"47,000km",47000,47000,,静岡県,2024-12,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"47,000km",47000,47000,,広島県,2024-04,,,,,165000,,,16.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"47,000km",47000,47000,,熊本県,2023-01,,,,,310000,,,31.0
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"48,000km",48000,48000,,香川県,2024-08,,,,,126000,,,12.6
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"48,000km",48000,48000,,山口県,2023-03,,,,,214000,,,21.4
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX,"48,000km",48000,48000,,宮崎県,2023-06,,,,,217000,,,21.7
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"49,000km",49000,49000,,大分県,2023-01,,,,,195000,,,19.5
appraisal_record,kurumaerabi_kaitori,10/8872,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/8872/,20260416_145625,ダイハツ,ミラ,daihatsu-mira,,2017,2017年式,TX 4WD,"49,000km",49000,49000,,愛媛県,2024-05,,,,,198000,,,19.8
