record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"2,000km",2000,2000,,沖縄県,2024-10,,,,,925000,,,92.5
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"5,000km",5000,5000,,埼玉県,2025-03,,,,,624000,,,62.4
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"5,000km",5000,5000,,三重県,2024-12,,,,,800000,,,80.0
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"5,000km",5000,5000,,宮崎県,2025-04,,,,,865000,,,86.5
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"5,000km",5000,5000,,長崎県,2025-04,,,,,865000,,,86.5
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"6,000km",6000,6000,,宮崎県,2025-10,,,,,931000,,,93.1
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,X ターボ SAII 4WD,"6,000km",6000,6000,,静岡県,2025-06,,,,,1005000,,,100.5
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"7,000km",7000,7000,,静岡県,2026-02,,,,,486000,,,48.6
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"7,000km",7000,7000,,山口県,2025-01,,,,,790000,,,79.0
appraisal_record,kurumaerabi_kaitori,10/484,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/484/,20260416_145631,ダイハツ,ムーヴ,daihatsu-move,,2023,2023年式,L SAIII,"7,000km",7000,7000,,沖縄県,2025-04,,,,,825000,,,82.5
