record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2009,2009年式,1.3 ターボ,"82,000km",82000,82000,,高知県,2019-01,,,,,129000,,,12.9
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2009,2009年式,1.3 ターボ,"82,000km",82000,82000,,徳島県,2019-01,,,,,129000,,,12.9
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2005,2005年式,1.3 ターボ X Rパック,"155,000km",155000,155000,,徳島県,2022-01,,,,,186000,,,18.6
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2004,2004年式,1.3 ターボ G,"57,000km",57000,57000,,群馬県,2020-11,,,,,135000,,,13.5
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2004,2004年式,1.0 L,"73,000km",73000,73000,,富山県,2015-04,,,,,56000,,,5.6
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2004,2004年式,1.3 ターボ X,"74,000km",74000,74000,,宮崎県,2018-07,,,,,60000,,,6.0
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2004,2004年式,1.3 ターボ X,"74,000km",74000,74000,,山口県,2018-07,,,,,60000,,,6.0
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2004,2004年式,1.3 ターボ X,"74,000km",74000,74000,,秋田県,2021-05,,,,,241000,,,24.1
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2004,2004年式,1.3 ターボ,"82,000km",82000,82000,,沖縄県,2022-12,,,,,197000,,,19.7
appraisal_record,kurumaerabi_kaitori,10/4526,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/10/4526/,20260416_145641,ダイハツ,YRV,daihatsu-yrv,,2004,2004年式,1.3 ターボ R 4WD,"116,000km",116000,116000,,佐賀県,2021-10,,,,,230000,,,23.0
