record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2025,2025年式,2.0,"1,000km",1000,1000,,大阪府,2025-01,,,,,4694000,,,469.4
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2025,2025年式,2.0,"1,000km",1000,1000,,神奈川県,2025-07,,,,,4852000,,,485.2
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2025,2025年式,2.0,"1,000km",1000,1000,,福岡県,2025-04,,,,,4898000,,,489.8
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2025,2025年式,2.0 レーシング ブラックパッケージ,"2,000km",2000,2000,,広島県,2025-10,,,,,5335000,,,533.5
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2025,2025年式,2.0,"3,000km",3000,3000,,静岡県,2026-01,,,,,4943000,,,494.3
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2025,2025年式,2.0 無限 RR,"4,000km",4000,4000,,群馬県,2026-02,,,,,5298000,,,529.8
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2025,2025年式,2.0 無限 RR,"7,000km",7000,7000,,栃木県,2026-03,,,,,5405000,,,540.5
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0,"1,000km",1000,1000,,愛知県,2024-02,,,,,4752000,,,475.2
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0,"3,000km",3000,3000,,長野県,2024-08,,,,,4807000,,,480.7
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0 無限 RR,"3,000km",3000,3000,,千葉県,2026-02,,,,,4935000,,,493.5
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0 無限 RR,"4,000km",4000,4000,,東京都,2026-03,,,,,4920000,,,492.0
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0 リミテッドエディション,"4,000km",4000,4000,,宮城県,2025-12,,,,,5297000,,,529.7
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0 無限 RR,"9,000km",9000,9000,,長野県,2026-01,,,,,5420000,,,542.0
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0,"11,000km",11000,11000,,秋田県,2025-12,,,,,4915000,,,491.5
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0 リミテッドエディション,"14,000km",14000,14000,,埼玉県,2026-03,,,,,5200000,,,520.0
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2024,2024年式,2.0,"31,000km",31000,31000,,東京都,2026-03,,,,,4852000,,,485.2
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2023,2023年式,2.0,"3,000km",3000,3000,,北海道,2024-09,,,,,4807000,,,480.7
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2023,2023年式,2.0,"5,000km",5000,5000,,東京都,2023-09,,,,,4369000,,,436.9
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2023,2023年式,2.0 リミテッドエディション,1万km,10000,10000,,神奈川県,2026-03,,,,,5125000,,,512.5
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2022,2022年式,2.0 リミテッドエディション,"7,000km",7000,7000,,茨城県,2025-12,,,,,5254000,,,525.4
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2022,2022年式,2.0 無限 RR,"7,000km",7000,7000,,滋賀県,2026-01,,,,,5361000,,,536.1
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2022,2022年式,2.0 無限 RR,"11,000km",11000,11000,,三重県,2026-01,,,,,5370000,,,537.0
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2022,2022年式,2.0,"44,000km",44000,44000,,栃木県,2025-11,,,,,4242000,,,424.2
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2021,2021年式,2.0 無限 RR,"11,000km",11000,11000,,新潟県,2026-03,,,,,4530000,,,453.0
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2021,2021年式,2.0,"13,000km",13000,13000,,栃木県,2024-02,,,,,4542000,,,454.2
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2021,2021年式,2.0,"14,000km",14000,14000,,東京都,2024-02,,,,,4306000,,,430.6
appraisal_record,kurumaerabi_kaitori,3/22395,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22395/,20260416_012421,ホンダ,シビックタイプR,honda-civic-type-r,,2021,2021年式,2.0 無限 RR,"21,000km",21000,21000,,京都府,2026-01,,,,,3709000,,,370.9
