record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,1.5 EX,"1,000km",1000,1000,,愛知県,2025-06,,,,,2557000,,,255.7
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,1.5 RS,"1,000km",1000,1000,,宮城県,2025-11,,,,,3320000,,,332.0
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,1.5 RS,"1,000km",1000,1000,,静岡県,2025-06,,,,,3345000,,,334.5
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,1.5 RS,"1,000km",1000,1000,,栃木県,2025-09,,,,,3526000,,,352.6
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,1.5 RS,"2,000km",2000,2000,,高知県,2025-12,,,,,3315000,,,331.5
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,2.0 e:HEV LX,"3,000km",3000,3000,,群馬県,2025-12,,,,,2010000,,,201.0
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,1.5 RS,"3,000km",3000,3000,,山梨県,2025-10,,,,,3480000,,,348.0
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,1.5 RS,"5,000km",5000,5000,,和歌山県,2026-02,,,,,3260000,,,326.0
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,2.0 e:HEV EX,"8,000km",8000,8000,,熊本県,2025-10,,,,,3280000,,,328.0
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2025,2025年式,2.0 e:HEV EX,"17,000km",17000,17000,,愛媛県,2025-12,,,,,3130000,,,313.0
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2024,2024年式,1.5 LX,"1,000km",1000,1000,,石川県,2024-10,,,,,2356000,,,235.6
appraisal_record,kurumaerabi_kaitori,3/21421,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/21421/,20260416_012419,ホンダ,シビック,honda-civic,,2024,2024年式,1.5 LX,"1,000km",1000,1000,,東京都,2024-04,,,,,2385000,,,238.5
