record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2025,2025年式,ファン,"1,000km",1000,1000,,愛知県,2025-10,,,,,1384000,,,138.4
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2025,2025年式,ファン 4WD,"1,000km",1000,1000,,東京都,2025-12,,,,,1454000,,,145.4
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2025,2025年式,ファン 4WD,"1,000km",1000,1000,,徳島県,2025-11,,,,,1601000,,,160.1
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2025,2025年式,+スタイル ファン ターボ ホンダセンシング 4WD,"1,000km",1000,1000,,岩手県,2025-12,,,,,1607000,,,160.7
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2025,2025年式,ファン ターボ 4WD,"2,000km",2000,2000,,千葉県,2025-08,,,,,1685000,,,168.5
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2025,2025年式,ファン ターボ,"16,000km",16000,16000,,埼玉県,2025-12,,,,,1148000,,,114.8
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2025,2025年式,+スタイル ファン ホンダセンシング,12万km,120000,120000,,埼玉県,2025-11,,,,,476000,,,47.6
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,G,"1,000km",1000,1000,,宮崎県,2024-11,,,,,931000,,,93.1
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,G,"1,000km",1000,1000,,大阪府,2024-09,,,,,992000,,,99.2
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,G,"1,000km",1000,1000,,東京都,2024-07,,,,,1002000,,,100.2
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,L ホンダセンシング,"1,000km",1000,1000,,大阪府,2024-09,,,,,1123000,,,112.3
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン,"1,000km",1000,1000,,兵庫県,2024-04,,,,,1391000,,,139.1
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン 4WD,"1,000km",1000,1000,,京都府,2025-01,,,,,1463000,,,146.3
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン 4WD,"1,000km",1000,1000,,岡山県,2025-08,,,,,1484000,,,148.4
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン 4WD,"1,000km",1000,1000,,山形県,2024-11,,,,,1504000,,,150.4
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン スタイル+ ネイチャー,"1,000km",1000,1000,,広島県,2025-06,,,,,1551000,,,155.1
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン ターボ,"1,000km",1000,1000,,東京都,2025-09,,,,,1567000,,,156.7
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン ターボ 4WD,"1,000km",1000,1000,,長野県,2025-02,,,,,1610000,,,161.0
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,G,"2,000km",2000,2000,,神奈川県,2025-06,,,,,757000,,,75.7
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン,"2,000km",2000,2000,,千葉県,2025-02,,,,,1305000,,,130.5
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン,"2,000km",2000,2000,,奈良県,2024-10,,,,,1373000,,,137.3
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン 4WD,"2,000km",2000,2000,,広島県,2024-05,,,,,1455000,,,145.5
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン,"2,000km",2000,2000,,島根県,2024-06,,,,,1458000,,,145.8
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン スタイル+ ネイチャー 4WD,"2,000km",2000,2000,,秋田県,2024-11,,,,,1533000,,,153.3
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン スタイル+ ネイチャー 4WD,"2,000km",2000,2000,,福島県,2024-12,,,,,1535000,,,153.5
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,ファン ターボ 4WD,"2,000km",2000,2000,,神奈川県,2024-08,,,,,1656000,,,165.6
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,L 4WD,"3,000km",3000,3000,,新潟県,2025-10,,,,,1073000,,,107.3
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,L,"3,000km",3000,3000,,広島県,2025-07,,,,,1141000,,,114.1
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,L,"3,000km",3000,3000,,愛媛県,2025-11,,,,,1145000,,,114.5
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン ターボ,"3,000km",3000,3000,,静岡県,2024-12,,,,,1352000,,,135.2
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン,"3,000km",3000,3000,,福島県,2025-07,,,,,1443000,,,144.3
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン ターボ,"3,000km",3000,3000,,秋田県,2025-08,,,,,1580000,,,158.0
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン ターボ  4WD,"4,000km",4000,4000,,山口県,2025-01,,,,,1324000,,,132.4
appraisal_record,kurumaerabi_kaitori,3/22769,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/22769/,20260416_012405,ホンダ,N-VAN,honda-n-van,,2024,2024年式,+スタイル ファン,"4,000km",4000,4000,,愛知県,2024-11,,,,,1452000,,,145.2
