record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2024,2024年式,2.0 e:HEV アブソルート EX ブラックエディション,"11,000km",11000,11000,,大阪府,2026-01,,,,,2275000,,,227.5
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2024,2024年式,2.0 e:HEV アブソルート,"13,000km",13000,13000,,鹿児島県,2025-11,,,,,3610000,,,361.0
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2024,2024年式,2.0 e:HEV アブソルート EX ブラックエディション,0万km,0,0,,東京都,2025-03,,,,,3405000,,,340.5
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2023,2023年式,2.4 アブソルート ホンダ センシング,"42,000km",42000,42000,,青森県,2026-01,,,,,2685000,,,268.5
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2022,2022年式,2.4 アブソルート EX 4WD,"17,000km",17000,17000,,埼玉県,2025-02,,,,,3410000,,,341.0
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2022,2022年式,2.4 アブソルート EX 4WD,"17,000km",17000,17000,,埼玉県,2025-02,,,,,3410000,,,341.0
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2022,2022年式,2.4 アブソルート EX,"18,000km",18000,18000,,京都府,2025-02,,,,,2960000,,,296.0
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2022,2022年式,2.0 e:HEV アブソルート EX,"19,000km",19000,19000,,岩手県,2026-02,,,,,3410000,,,341.0
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2022,2022年式,2.0 e:HEV アブソルート EX,"19,000km",19000,19000,,大分県,2025-09,,,,,3596000,,,359.6
appraisal_record,kurumaerabi_kaitori,3/17047,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/17047/,20260416_012417,ホンダ,オデッセイ,honda-odyssey,,2022,2022年式,2.0 e:HEV アブソルート EX,2万km,20000,20000,,高知県,2025-08,,,,,3600000,,,360.0
