record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2015,2015年式,1.8 RSZ,"99,000km",99000,99000,,富山県,2025-03,,,,,570000,,,57.0
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ Sパッケージ,"32,000km",32000,32000,,栃木県,2023-06,,,,,600000,,,60.0
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,2.0 RSZ,"47,000km",47000,47000,,福岡県,2023-03,,,,,586000,,,58.6
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ,"52,000km",52000,52000,,岩手県,2023-05,,,,,600000,,,60.0
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ,"53,000km",53000,53000,,宮城県,2023-03,,,,,540000,,,54.0
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ,"53,000km",53000,53000,,三重県,2023-03,,,,,540000,,,54.0
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,2.0 RSZ,"59,000km",59000,59000,,新潟県,2024-06,,,,,433000,,,43.3
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ,"66,000km",66000,66000,,福岡県,2024-05,,,,,520000,,,52.0
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ,"83,000km",83000,83000,,岐阜県,2023-06,,,,,545000,,,54.5
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ,"86,000km",86000,86000,,埼玉県,2023-06,,,,,435000,,,43.5
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,2.0 RSZ Sパッケージ,"94,000km",94000,94000,,鳥取県,2025-05,,,,,249000,,,24.9
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ Sパッケージ,10万km,100000,100000,,岡山県,2023-01,,,,,488000,,,48.8
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,2.0 RSZ Sパッケージ,"104,000km",104000,104000,,青森県,2023-04,,,,,205000,,,20.5
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ,"108,000km",108000,108000,,茨城県,2023-07,,,,,515000,,,51.5
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ,"109,000km",109000,109000,,鹿児島県,2025-07,,,,,508000,,,50.8
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ Sパッケージ,"115,000km",115000,115000,,静岡県,2023-03,,,,,553000,,,55.3
appraisal_record,kurumaerabi_kaitori,3/2380,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/2380/,20260416_012439,ホンダ,ストリーム,honda-stream,,2014,2014年式,1.8 RSZ Sパッケージ,"115,000km",115000,115000,,青森県,2023-03,,,,,553000,,,55.3
