record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z,"1,000km",1000,1000,,東京都,2025-08,,,,,1776000,,,177.6
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z ブラックスタイル,"1,000km",1000,1000,,大分県,2025-08,,,,,1904000,,,190.4
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z,"1,000km",1000,1000,,東京都,2025-06,,,,,1905000,,,190.5
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z プラス,"1,000km",1000,1000,,東京都,2025-03,,,,,1933000,,,193.3
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z プラス,"1,000km",1000,1000,,宮崎県,2025-04,,,,,1993000,,,199.3
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z,"1,000km",1000,1000,,三重県,2026-02,,,,,2095000,,,209.5
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z プラス ブラックスタイル,"1,000km",1000,1000,,熊本県,2025-08,,,,,2110000,,,211.0
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z プラス,"1,000km",1000,1000,,東京都,2025-05,,,,,2147000,,,214.7
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z,"1,000km",1000,1000,,滋賀県,2025-02,,,,,2246000,,,224.6
appraisal_record,kurumaerabi_kaitori,3/23428,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/3/23428/,20260416_012411,ホンダ,WR-V,honda-wr-v,,2025,2025年式,1.5 Z ブラックスタイル,"2,000km",2000,2000,,宮崎県,2025-07,,,,,1830000,,,183.0
