record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.5 25S Lパッケージ,1万km,10000,10000,,鳥取県,2025-04,,,,,1590000,,,159.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.5 25S Lパッケージ,"13,000km",13000,13000,,鹿児島県,2023-04,,,,,1655000,,,165.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.5 25S Lパッケージ,"25,000km",25000,25000,,茨城県,2025-06,,,,,1710000,,,171.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD,"28,000km",28000,28000,,奈良県,2024-08,,,,,1480000,,,148.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.0 20S,"31,000km",31000,31000,,愛知県,2024-11,,,,,1394000,,,139.4
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.5 25S Lパッケージ,"32,000km",32000,32000,,兵庫県,2025-08,,,,,1480000,,,148.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.0 20S プロアクティブ,"35,000km",35000,35000,,島根県,2023-11,,,,,1561000,,,156.1
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.0 20S,"36,000km",36000,36000,,岡山県,2023-11,,,,,1449000,,,144.9
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.5 25S Lパッケージ,"39,000km",39000,39000,,京都府,2023-11,,,,,1438000,,,143.8
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.5 25S Lパッケージ,"39,000km",39000,39000,,島根県,2024-02,,,,,1635000,,,163.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"39,000km",39000,39000,,愛媛県,2025-02,,,,,1640000,,,164.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"44,000km",44000,44000,,高知県,2025-02,,,,,1540000,,,154.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"46,000km",46000,46000,,富山県,2024-04,,,,,1245000,,,124.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD 4WD,"46,000km",46000,46000,,埼玉県,2025-07,,,,,1685000,,,168.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,5万km,50000,50000,,群馬県,2023-08,,,,,1270000,,,127.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD Lパッケージ,5万km,50000,50000,,奈良県,2025-08,,,,,1379000,,,137.9
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"52,000km",52000,52000,,東京都,2026-03,,,,,916000,,,91.6
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD Lパッケージ,"62,000km",62000,62000,,香川県,2023-07,,,,,1270000,,,127.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD Lパッケージ,"62,000km",62000,62000,,佐賀県,2023-03,,,,,1665000,,,166.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD Lパッケージ 4WD,"62,000km",62000,62000,,栃木県,2025-06,,,,,1681000,,,168.1
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"69,000km",69000,69000,,島根県,2025-11,,,,,1240000,,,124.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.0 20S プロアクティブ,7万km,70000,70000,,鳥取県,2025-08,,,,,1265000,,,126.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ 4WD,"72,000km",72000,72000,,群馬県,2025-07,,,,,1225000,,,122.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD,"72,000km",72000,72000,,沖縄県,2026-02,,,,,1260000,,,126.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD Lパッケージ,"72,000km",72000,72000,,石川県,2025-06,,,,,1315000,,,131.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.5 25S Lパッケージ,"72,000km",72000,72000,,新潟県,2024-05,,,,,1365000,,,136.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.5 25S Lパッケージ,"73,000km",73000,73000,,新潟県,2025-06,,,,,1090000,,,109.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.0 20S,"74,000km",74000,74000,,奈良県,2024-08,,,,,1248000,,,124.8
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"75,000km",75000,75000,,福井県,2025-05,,,,,1555000,,,155.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD Lパッケージ,"77,000km",77000,77000,,兵庫県,2024-09,,,,,1480000,,,148.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"83,000km",83000,83000,,長崎県,2024-12,,,,,1020000,,,102.0
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"83,000km",83000,83000,,福岡県,2024-02,,,,,1197000,,,119.7
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD プロアクティブ,"85,000km",85000,85000,,東京都,2024-05,,,,,1152000,,,115.2
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.0 20S,"87,000km",87000,87000,,岡山県,2025-11,,,,,1155000,,,115.5
appraisal_record,kurumaerabi_kaitori,4/22179,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22179/,20260416_145851,マツダ,アテンザワゴン,mazda-atenza-wagon,,2019,2019年式,2.2 XD Lパッケージ 4WD,"89,000km",89000,89000,,愛知県,2024-11,,,,,1420000,,,142.0
