record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2015,2015年式,XS,"22,000km",22000,22000,,京都府,2026-02,,,,,340000,,,34.0
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2015,2015年式,XS,"22,000km",22000,22000,,京都府,2026-02,,,,,340000,,,34.0
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2014,2014年式,XS 4WD,"57,000km",57000,57000,,兵庫県,2026-02,,,,,221000,,,22.1
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2014,2014年式,XS 4WD,"57,000km",57000,57000,,兵庫県,2026-02,,,,,221000,,,22.1
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2014,2014年式,XS 4WD,"97,000km",97000,97000,,大阪府,2026-02,,,,,297000,,,29.7
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2014,2014年式,XS 4WD,"97,000km",97000,97000,,大阪府,2026-02,,,,,297000,,,29.7
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,カスタムスタイル XSリミテッド,"43,000km",43000,43000,,岐阜県,2023-12,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,カスタムスタイル XSリミテッド,"43,000km",43000,43000,,岐阜県,2023-12,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,XS スペシャル,"57,000km",57000,57000,,愛知県,2023-12,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,XS スペシャル,"57,000km",57000,57000,,愛知県,2023-12,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,XS スペシャル,"57,000km",57000,57000,,奈良県,2024-02,,,,,213000,,,21.3
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,XS スペシャル,"57,000km",57000,57000,,奈良県,2024-02,,,,,213000,,,21.3
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,XS スペシャル,"67,000km",67000,67000,,徳島県,2026-01,,,,,240000,,,24.0
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,XS スペシャル,"67,000km",67000,67000,,徳島県,2026-01,,,,,240000,,,24.0
appraisal_record,kurumaerabi_kaitori,4/318,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/318/,20260416_145857,マツダ,AZ-ワゴン,mazda-az-wagon,,2013,2013年式,カスタムスタイル XSリミテッド,"67,000km",67000,67000,,福島県,2023-03,,,,,255000,,,25.5
