record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2024,2024年式,GL 4WD,"2,000km",2000,2000,,熊本県,2025-05,,,,,725000,,,72.5
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,GL,"9,000km",9000,9000,,宮崎県,2025-05,,,,,630000,,,63.0
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,GL,1万km,10000,10000,,新潟県,2025-11,,,,,600000,,,60.0
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,GL,1万km,10000,10000,,富山県,2025-02,,,,,645000,,,64.5
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,GL,"11,000km",11000,11000,,和歌山県,2025-10,,,,,645000,,,64.5
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,GL,"14,000km",14000,14000,,岐阜県,2024-01,,,,,395000,,,39.5
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,ハイブリッド GS,"14,000km",14000,14000,,愛知県,2025-08,,,,,654000,,,65.4
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,ハイブリッド GS,"53,000km",53000,53000,,大分県,2025-06,,,,,725000,,,72.5
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,ハイブリッド GX,"99,000km",99000,99000,,佐賀県,2025-07,,,,,687000,,,68.7
appraisal_record,kurumaerabi_kaitori,4/328,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/328/,20260416_145842,マツダ,キャロル,mazda-carol,,2023,2023年式,ハイブリッド GS 4WD,0万km,0,0,,大阪府,2024-06,,,,,742000,,,74.2
