record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2025,2025年式,2.0 20S ブラックトーンエディション,"3,000km",3000,3000,,岡山県,2026-02,,,,,1945000,,,194.5
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2024,2024年式,1.5 15S ツーリング,"3,000km",3000,3000,,埼玉県,2025-08,,,,,1856000,,,185.6
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2024,2024年式,1.8 XD レトロスポーツエディション,"3,000km",3000,3000,,山口県,2025-06,,,,,2235000,,,223.5
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2024,2024年式,2.0 20S レトロスポーツエディション,"4,000km",4000,4000,,山口県,2025-08,,,,,2115000,,,211.5
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2024,2024年式,1.5 15S ツーリング,"7,000km",7000,7000,,千葉県,2025-08,,,,,1905000,,,190.5
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2024,2024年式,2.0 20S ツーリング,"8,000km",8000,8000,,兵庫県,2026-03,,,,,1195000,,,119.5
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2024,2024年式,2.0 20S Sパッケージ,"8,000km",8000,8000,,神奈川県,2025-09,,,,,2060000,,,206.0
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2024,2024年式,2.0 20S レトロスポーツエディション,"14,000km",14000,14000,,広島県,2025-06,,,,,2085000,,,208.5
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2024,2024年式,1.8 XD プロアクティブ ツーリング セレクション,"32,000km",32000,32000,,新潟県,2025-09,,,,,1240000,,,124.0
appraisal_record,kurumaerabi_kaitori,4/22908,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22908/,20260416_145821,マツダ,MAZDA3 SEDAN,mazda-mazda3-sedan,,2023,2023年式,2.0 20S プロアクティブ ツーリング セレクション,"1,000km",1000,1000,,富山県,2025-09,,,,,1970000,,,197.0
