record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2024,2024年式,エディション R,"2,000km",2000,2000,,山梨県,2025-03,,,,,1476000,,,147.6
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2024,2024年式,インダストリアル クラシック,"3,000km",3000,3000,,群馬県,2025-08,,,,,2000000,,,200.0
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2024,2024年式,エディション R,"3,000km",3000,3000,,千葉県,2025-06,,,,,2360000,,,236.0
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2024,2024年式,モダン コンフィデンス,"4,000km",4000,4000,,岩手県,2025-07,,,,,2060000,,,206.0
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2024,2024年式,エディション R,"5,000km",5000,5000,,広島県,2025-09,,,,,2253000,,,225.3
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2024,2024年式,エディション R,"5,000km",5000,5000,,香川県,2025-03,,,,,2600000,,,260.0
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2024,2024年式,エディション R,"7,000km",7000,7000,,大阪府,2025-11,,,,,1985000,,,198.5
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2023,2023年式,エディション R,"2,000km",2000,2000,,群馬県,2024-10,,,,,3185000,,,318.5
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2023,2023年式,ナチュラル モノトーン,"3,000km",3000,3000,,千葉県,2025-08,,,,,1900000,,,190.0
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2023,2023年式,エディション R,"3,000km",3000,3000,,東京都,2025-05,,,,,2350000,,,235.0
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2023,2023年式,ナチュラル モノトーン,"3,000km",3000,3000,,奈良県,2024-08,,,,,2987000,,,298.7
appraisal_record,kurumaerabi_kaitori,4/23405,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/23405/,20260416_145832,マツダ,MX-30ロータリーEV,mazda-mx-30-rotary-ev,,2023,2023年式,ナチュラル モノトーン,"4,000km",4000,4000,,奈良県,2025-10,,,,,1950000,,,195.0
