record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 VS,"2,000km",2000,2000,,愛知県,2025-04,,,,,2585000,,,258.5
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 VS,"2,000km",2000,2000,,東京都,2025-03,,,,,2925000,,,292.5
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 RS,"2,000km",2000,2000,,京都府,2023-10,,,,,3295000,,,329.5
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 VS ホワイトセレクション,"3,000km",3000,3000,,長崎県,2025-09,,,,,2990000,,,299.0
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 VS,"4,000km",4000,4000,,埼玉県,2025-06,,,,,2645000,,,264.5
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 RS,"4,000km",4000,4000,,鳥取県,2025-04,,,,,3285000,,,328.5
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 S,"5,000km",5000,5000,,岩手県,2025-10,,,,,2264000,,,226.4
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 VS テラコッタ セレクション,"5,000km",5000,5000,,奈良県,2024-10,,,,,2862000,,,286.2
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 RS,"5,000km",5000,5000,,愛媛県,2024-11,,,,,3060000,,,306.0
appraisal_record,kurumaerabi_kaitori,4/22502,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/22502/,20260416_145834,マツダ,ロードスターRF,mazda-roadster-rf,,2023,2023年式,2.0 S,"6,000km",6000,6000,,熊本県,2025-10,,,,,2505000,,,250.5
