record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプRS,"15,000km",15000,15000,,岐阜県,2023-11,,,,,285000,,,28.5
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプE,"42,000km",42000,42000,,三重県,2023-07,,,,,1445000,,,144.5
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプE,"47,000km",47000,47000,,高知県,2021-01,,,,,1210000,,,121.0
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプE,"66,000km",66000,66000,,愛知県,2024-05,,,,,750000,,,75.0
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプE,"67,000km",67000,67000,,鳥取県,2023-03,,,,,1280000,,,128.0
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプE,"67,000km",67000,67000,,福岡県,2021-12,,,,,1400000,,,140.0
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプRS,"69,000km",69000,69000,,東京都,2024-08,,,,,1830000,,,183.0
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプRS,"84,000km",84000,84000,,東京都,2024-02,,,,,1685000,,,168.5
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプE,"89,000km",89000,89000,,鹿児島県,2024-10,,,,,880000,,,88.0
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプRS,"99,000km",99000,99000,,愛知県,2023-11,,,,,1300000,,,130.0
appraisal_record,kurumaerabi_kaitori,4/2737,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2737/,20260416_145905,マツダ,RX-8,mazda-rx-8,,2013,2013年式,スピリットR・タイプRS,10万km,100000,100000,,福岡県,2025-10,,,,,1600000,,,160.0
