record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,2006,2006年式,3.0 エクスクルーシブ,4万km,40000,40000,,宮城県,2018-04,,,,,130000,,,13.0
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,2000,2000年式,3.0 エクスクルーシブ,"63,000km",63000,63000,,三重県,2024-08,,,,,242000,,,24.2
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,2000,2000年式,3.0 リミテッド G,"126,000km",126000,126000,,島根県,2021-07,,,,,57000,,,5.7
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,2000,2000年式,3.0 エクスクルーシブ,"173,000km",173000,173000,,鳥取県,2021-07,,,,,52000,,,5.2
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,1999,1999年式,3.0 リミテッド G,"42,000km",42000,42000,,秋田県,2016-07,,,,,53000,,,5.3
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,1999,1999年式,3.0 エクスクルーシブ,"42,000km",42000,42000,,佐賀県,2018-05,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,1999,1999年式,3.0 リミテッド G,"48,000km",48000,48000,,和歌山県,2021-01,,,,,91000,,,9.1
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,1999,1999年式,3.0 リミテッド G,"48,000km",48000,48000,,愛媛県,2021-01,,,,,91000,,,9.1
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,1999,1999年式,3.0 リミテッド G,"63,000km",63000,63000,,大分県,2015-04,,,,,39000,,,3.9
appraisal_record,kurumaerabi_kaitori,4/6654,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/6654/,20260416_145909,マツダ,センティア,mazda-sentia,,1999,1999年式,3.0 リミテッド G,"63,000km",63000,63000,,秋田県,2015-07,,,,,42000,,,4.2
