record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2017,2017年式,GS,"46,000km",46000,46000,,長崎県,2018-11,,,,,187000,,,18.7
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,XS,"15,000km",15000,15000,,長野県,2022-08,,,,,288000,,,28.8
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,SS,"23,000km",23000,23000,,広島県,2023-05,,,,,134000,,,13.4
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,XS,"37,000km",37000,37000,,鹿児島県,2021-02,,,,,165000,,,16.5
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,XS 4WD,"38,000km",38000,38000,,静岡県,2020-11,,,,,258000,,,25.8
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,XS,"44,000km",44000,44000,,岡山県,2020-09,,,,,186000,,,18.6
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,XS,"57,000km",57000,57000,,鳥取県,2023-08,,,,,154000,,,15.4
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,XS,"64,000km",64000,64000,,奈良県,2022-10,,,,,107000,,,10.7
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,XS,"67,000km",67000,67000,,兵庫県,2021-01,,,,,111000,,,11.1
appraisal_record,kurumaerabi_kaitori,4/2182,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/4/2182/,20260416_145913,マツダ,スピアーノ,mazda-spiano,,2008,2008年式,XS,"67,000km",67000,67000,,徳島県,2021-01,,,,,111000,,,11.1
