record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2013,2013年式,2.4 スポーツギア S,"19,000km",19000,19000,,新潟県,2019-02,,,,,168000,,,16.8
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2013,2013年式,2.0 ターボR 4WD,"75,000km",75000,75000,,石川県,2019-02,,,,,180000,,,18.0
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2013,2013年式,2.0 ターボR 4WD,"118,000km",118000,118000,,島根県,2024-12,,,,,250000,,,25.0
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2012,2012年式,2.4 24V-S 4WD,"62,000km",62000,62000,,福井県,2019-02,,,,,178000,,,17.8
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2012,2012年式,2.0 ターボR 4WD,11万km,110000,110000,,山梨県,2019-02,,,,,63000,,,6.3
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2011,2011年式,2.0 ターボR 4WD,"129,000km",129000,129000,,長野県,2019-02,,,,,72000,,,7.2
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2006,2006年式,2.0 ターボR リミテッドエディション 4WD,"86,000km",86000,86000,,大阪府,2020-11,,,,,105000,,,10.5
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2005,2005年式,2.4 スポーツギア,"7,000km",7000,7000,,三重県,2019-04,,,,,159000,,,15.9
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2005,2005年式,2.0 ターボR 4WD,"42,000km",42000,42000,,山形県,2020-09,,,,,136000,,,13.6
appraisal_record,kurumaerabi_kaitori,6/368,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/368/,20260416_061529,三菱,エアトレック,mitsubishi-airtrek,,2005,2005年式,2.0 20V,"43,000km",43000,43000,,高知県,2022-11,,,,,154000,,,15.4
