record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 電動サイドステップ 非装着車  4WD,"1,000km",1000,1000,,東京都,2025-09,,,,,3575000,,,357.5
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 電動サイドステップ 4WD,"1,000km",1000,1000,,福岡県,2026-03,,,,,3962000,,,396.2
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 電動サイドステップ 非装着車  4WD,"1,000km",1000,1000,,福岡県,2026-01,,,,,4024000,,,402.4
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 電動サイドステップ 4WD,"1,000km",1000,1000,,福岡県,2025-10,,,,,4033000,,,403.3
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 電動サイドステップ 非装着車  4WD,"1,000km",1000,1000,,福岡県,2026-02,,,,,4332000,,,433.2
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 電動サイドステップ 4WD,"2,000km",2000,2000,,福岡県,2026-03,,,,,4142000,,,414.2
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 4WD,"2,000km",2000,2000,,宮城県,2025-11,,,,,4285000,,,428.5
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 電動サイドステップ 4WD,"9,000km",9000,9000,,大阪府,2026-02,,,,,2513000,,,251.3
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 G 4WD,1万km,10000,10000,,秋田県,2025-11,,,,,3440000,,,344.0
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 G 4WD,"12,000km",12000,12000,,福岡県,2025-12,,,,,3395000,,,339.5
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 G パワーパッケージ 4WD,"17,000km",17000,17000,,佐賀県,2025-10,,,,,3460000,,,346.0
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 シャモニー 4WD,0万km,0,0,,福岡県,2025-10,,,,,3542000,,,354.2
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2025,2025年式,2.2 ブラック エディション 4WD,0万km,0,0,,三重県,2025-06,,,,,4315000,,,431.5
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 P 4WD,"1,000km",1000,1000,,福岡県,2025-08,,,,,3726000,,,372.6
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 P 4WD,"1,000km",1000,1000,,福井県,2025-03,,,,,3743000,,,374.3
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 シャモニー 電動サイドステップ 非装着車  4WD,"1,000km",1000,1000,,福岡県,2025-09,,,,,3841000,,,384.1
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 シャモニー 電動サイドステップ 非装着車  4WD,"1,000km",1000,1000,,福岡県,2025-07,,,,,3997000,,,399.7
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 シャモニー 電動サイドステップ 4WD,"1,000km",1000,1000,,福岡県,2026-01,,,,,4022000,,,402.2
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 シャモニー 4WD,"1,000km",1000,1000,,岩手県,2025-05,,,,,4220000,,,422.0
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 P 4WD,"2,000km",2000,2000,,沖縄県,2025-06,,,,,3500000,,,350.0
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 P 4WD,"2,000km",2000,2000,,石川県,2025-09,,,,,3650000,,,365.0
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 シャモニー 電動サイドステップ 非装着車  4WD,"4,000km",4000,4000,,福岡県,2025-07,,,,,3992000,,,399.2
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 シャモニー 4WD,"4,000km",4000,4000,,千葉県,2025-05,,,,,4000000,,,400.0
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 シャモニー 4WD,"4,000km",4000,4000,,青森県,2025-06,,,,,4225000,,,422.5
appraisal_record,kurumaerabi_kaitori,6/20004,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20004/,20260416_061521,三菱,デリカD:5,mitsubishi-delica-d5,,2024,2024年式,2.2 P 4WD,"5,000km",5000,5000,,滋賀県,2025-06,,,,,3456000,,,345.6
