record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2005,2005年式,2.0 サンクス,"72,000km",72000,72000,,新潟県,2015-03,,,,,45000,,,4.5
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2005,2005年式,2.0 サンクス,"81,000km",81000,81000,,岡山県,2022-08,,,,,85000,,,8.5
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2005,2005年式,2.0 サンクス,"96,000km",96000,96000,,茨城県,2015-04,,,,,66000,,,6.6
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2004,2004年式,2.0 サンクス,"62,000km",62000,62000,,島根県,2016-03,,,,,42000,,,4.2
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2004,2004年式,2.0 サンクス ナビエディション 4WD,"79,000km",79000,79000,,山口県,2017-03,,,,,55000,,,5.5
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2004,2004年式,2.0 サンクス,"93,000km",93000,93000,,兵庫県,2016-09,,,,,36000,,,3.6
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2004,2004年式,2.0 サンクス ナビエディション,"156,000km",156000,156000,,静岡県,2018-07,,,,,52000,,,5.2
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2003,2003年式,2.0 エクシード スーパーパッケージ,"35,000km",35000,35000,,富山県,2022-04,,,,,104000,,,10.4
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2003,2003年式,2.0 サンクス ナビエディション,"39,000km",39000,39000,,滋賀県,2017-06,,,,,48000,,,4.8
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2003,2003年式,1.8 ターボ,"75,000km",75000,75000,,富山県,2015-07,,,,,84000,,,8.4
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2003,2003年式,1.8 ターボ,"75,000km",75000,75000,,岡山県,2015-07,,,,,84000,,,8.4
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2003,2003年式,2.0 VIE-X Cパッケージ,8万km,80000,80000,,熊本県,2016-12,,,,,38000,,,3.8
appraisal_record,kurumaerabi_kaitori,6/3482,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/3482/,20260416_061557,三菱,ディオン,mitsubishi-dion,,2003,2003年式,2.0 サンクス,"98,000km",98000,98000,,高知県,2016-01,,,,,42000,,,4.2
