record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2025,2025年式,1.5 ブラック エディション 4WD,"4,000km",4000,4000,,茨城県,2025-08,,,,,2785000,,,278.5
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2025,2025年式,1.5 M,"5,000km",5000,5000,,広島県,2025-11,,,,,2155000,,,215.5
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2025,2025年式,1.5 P 4WD,1万km,10000,10000,,秋田県,2026-03,,,,,2820000,,,282.0
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2025,2025年式,1.5 G,0万km,0,0,,宮崎県,2025-10,,,,,2260000,,,226.0
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2025,2025年式,PHEV 2.4 G 4WD,0万km,0,0,,岡山県,2025-09,,,,,2380000,,,238.0
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2024,2024年式,PHEV 2.4 P 4WD,"1,000km",1000,1000,,三重県,2024-12,,,,,3350000,,,335.0
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2024,2024年式,PHEV 2.4 P 4WD,"2,000km",2000,2000,,宮城県,2025-04,,,,,2715000,,,271.5
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2024,2024年式,PHEV 2.4 P 4WD,"2,000km",2000,2000,,広島県,2025-04,,,,,2715000,,,271.5
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2024,2024年式,PHEV 2.4 P 4WD,"3,000km",3000,3000,,山口県,2025-04,,,,,2531000,,,253.1
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2024,2024年式,PHEV 2.4 P 4WD,"3,000km",3000,3000,,秋田県,2025-04,,,,,2531000,,,253.1
appraisal_record,kurumaerabi_kaitori,6/22736,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22736/,20260416_061519,三菱,エクリプス クロス,mitsubishi-eclipse-cross,,2024,2024年式,PHEV 2.4 P 4WD,"3,000km",3000,3000,,富山県,2025-07,,,,,2675000,,,267.5
