record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2024,2024年式,G,"3,000km",3000,3000,,愛知県,2025-01,,,,,1115000,,,111.5
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2024,2024年式,P,"11,000km",11000,11000,,岐阜県,2025-01,,,,,1191000,,,119.1
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2023,2023年式,G,"2,000km",2000,2000,,愛知県,2025-01,,,,,864000,,,86.4
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2023,2023年式,G,"3,000km",3000,3000,,東京都,2025-08,,,,,1020000,,,102.0
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2023,2023年式,P,"3,000km",3000,3000,,三重県,2025-04,,,,,1330000,,,133.0
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2023,2023年式,P,"3,000km",3000,3000,,福島県,2025-04,,,,,1330000,,,133.0
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2023,2023年式,P,"3,000km",3000,3000,,静岡県,2025-01,,,,,1331000,,,133.1
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2023,2023年式,G ビジネスパッケージ,"4,000km",4000,4000,,石川県,2025-05,,,,,905000,,,90.5
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2023,2023年式,P,"4,000km",4000,4000,,奈良県,2025-03,,,,,1200000,,,120.0
appraisal_record,kurumaerabi_kaitori,6/23277,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/23277/,20260416_061524,三菱,eKクロス EV,mitsubishi-ek-cross-ev,,2023,2023年式,P,"4,000km",4000,4000,,島根県,2024-02,,,,,1829000,,,182.9
