record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2015,2015年式,1.8 スポーツ,"56,000km",56000,56000,,宮城県,2025-10,,,,,281000,,,28.1
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2015,2015年式,2.0 ラリーアート 4WD,"93,000km",93000,93000,,大阪府,2023-12,,,,,450000,,,45.0
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2015,2015年式,1.8 スポーツ,"123,000km",123000,123000,,福島県,2022-05,,,,,642000,,,64.2
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2015,2015年式,1.8 スポーツ,"143,000km",143000,143000,,佐賀県,2023-11,,,,,118000,,,11.8
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2014,2014年式,2.0 ラリーアート 4WD,"21,000km",21000,21000,,埼玉県,2025-12,,,,,1037000,,,103.7
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2014,2014年式,1.8 スポーツ,"27,000km",27000,27000,,鹿児島県,2023-02,,,,,397000,,,39.7
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2014,2014年式,1.8 スポーツ,"27,000km",27000,27000,,兵庫県,2023-02,,,,,397000,,,39.7
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2014,2014年式,1.8 スポーツ 4WD,"38,000km",38000,38000,,秋田県,2025-09,,,,,265000,,,26.5
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2014,2014年式,1.8 スポーツ 4WD,4万km,40000,40000,,新潟県,2025-12,,,,,353000,,,35.3
appraisal_record,kurumaerabi_kaitori,6/22501,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/22501/,20260416_061533,三菱,ギャランフォルティススポーツバック,mitsubishi-galant-fortis-sportback,,2014,2014年式,1.8 スポーツ,"45,000km",45000,45000,,高知県,2020-10,,,,,600000,,,60.0
