record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード,"14,000km",14000,14000,,東京都,2022-07,,,,,610000,,,61.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード 4WD,"27,000km",27000,27000,,静岡県,2024-06,,,,,468000,,,46.8
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード 4WD,"27,000km",27000,27000,,愛知県,2024-06,,,,,471000,,,47.1
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード,3万km,30000,30000,,群馬県,2021-07,,,,,455000,,,45.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード,"33,000km",33000,33000,,佐賀県,2023-10,,,,,457000,,,45.7
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード 4WD,"61,000km",61000,61000,,宮崎県,2024-02,,,,,312000,,,31.2
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード,"65,000km",65000,65000,,岐阜県,2021-01,,,,,298000,,,29.8
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード,"82,000km",82000,82000,,長崎県,2021-06,,,,,420000,,,42.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 エクシード,"101,000km",101000,101000,,滋賀県,2024-07,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 エクシード,"106,000km",106000,106000,,群馬県,2023-07,,,,,155000,,,15.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード 4WD,"123,000km",123000,123000,,鹿児島県,2024-10,,,,,230000,,,23.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード,"124,000km",124000,124000,,福岡県,2024-08,,,,,262000,,,26.2
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スポーツ,"131,000km",131000,131000,,埼玉県,2025-08,,,,,291000,,,29.1
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 エクシード,"138,000km",138000,138000,,愛知県,2023-11,,,,,240000,,,24.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 エクシード,"147,000km",147000,147000,,神奈川県,2024-05,,,,,175000,,,17.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2015,2015年式,1.8 スーパーエクシード 4WD,"161,000km",161000,161000,,鳥取県,2023-01,,,,,183000,,,18.3
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スポーツ,2万km,20000,20000,,東京都,2025-08,,,,,490000,,,49.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード 4WD,3万km,30000,30000,,滋賀県,2025-07,,,,,334000,,,33.4
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"33,000km",33000,33000,,愛知県,2024-05,,,,,205000,,,20.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード,"37,000km",37000,37000,,広島県,2019-11,,,,,570000,,,57.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"41,000km",41000,41000,,和歌山県,2023-04,,,,,348000,,,34.8
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード,"43,000km",43000,43000,,長崎県,2023-03,,,,,327000,,,32.7
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"45,000km",45000,45000,,宮崎県,2021-06,,,,,442000,,,44.2
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"47,000km",47000,47000,,京都府,2025-07,,,,,242000,,,24.2
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"47,000km",47000,47000,,福岡県,2022-03,,,,,375000,,,37.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"52,000km",52000,52000,,山形県,2022-06,,,,,253000,,,25.3
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード,"54,000km",54000,54000,,奈良県,2023-05,,,,,112000,,,11.2
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード,"55,000km",55000,55000,,神奈川県,2021-11,,,,,487000,,,48.7
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スポーツ,"59,000km",59000,59000,,石川県,2024-04,,,,,462000,,,46.2
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード 4WD,"61,000km",61000,61000,,宮城県,2024-12,,,,,297000,,,29.7
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"62,000km",62000,62000,,熊本県,2024-10,,,,,390000,,,39.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード,"63,000km",63000,63000,,東京都,2021-04,,,,,365000,,,36.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード,"68,000km",68000,68000,,静岡県,2021-02,,,,,450000,,,45.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード 4WD,7万km,70000,70000,,香川県,2020-05,,,,,95000,,,9.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,2.0 ラリーアート 4WD,"72,000km",72000,72000,,佐賀県,2022-03,,,,,855000,,,85.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"74,000km",74000,74000,,青森県,2025-09,,,,,200000,,,20.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"74,000km",74000,74000,,長野県,2026-03,,,,,312000,,,31.2
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,2.0 ラリーアート 4WD,"77,000km",77000,77000,,埼玉県,2025-01,,,,,628000,,,62.8
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,2.0 ラリーアート 4WD,8万km,80000,80000,,埼玉県,2026-03,,,,,775000,,,77.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,2.0 ラリーアート 4WD,9万km,90000,90000,,東京都,2025-08,,,,,680000,,,68.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,2.0 ラリーアート 4WD,"91,000km",91000,91000,,埼玉県,2025-08,,,,,608000,,,60.8
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード,"92,000km",92000,92000,,徳島県,2025-05,,,,,230000,,,23.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 スーパーエクシード,"93,000km",93000,93000,,高知県,2022-04,,,,,346000,,,34.6
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,2.0 ラリーアート 4WD,"93,000km",93000,93000,,千葉県,2025-09,,,,,680000,,,68.0
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,2.0 ラリーアート 4WD,"93,000km",93000,93000,,群馬県,2023-03,,,,,825000,,,82.5
appraisal_record,kurumaerabi_kaitori,6/20183,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20183/,20260416_061532,三菱,ギャランフォルティス,mitsubishi-galant-fortis,,2014,2014年式,1.8 エクシード,"99,000km",99000,99000,,高知県,2020-05,,,,,77000,,,7.7
