record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2021,2021年式,2.0 VR-4 4WD,"122,000km",122000,122000,,福岡県,2022-08,,,,,915000,,,91.5
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2007,2007年式,2.5 VR-4タイプS 4WD,"111,000km",111000,111000,,宮城県,2025-03,,,,,231000,,,23.1
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2005,2005年式,2.0 ヴィエント,"49,000km",49000,49000,,栃木県,2022-07,,,,,127000,,,12.7
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2005,2005年式,2.0 ヴィエント,"158,000km",158000,158000,,青森県,2025-03,,,,,176000,,,17.6
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2003,2003年式,2.0 ヴィエント,"26,000km",26000,26000,,熊本県,2017-06,,,,,60000,,,6.0
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2003,2003年式,2.0 VR-G,9万km,90000,90000,,富山県,2023-09,,,,,114000,,,11.4
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2003,2003年式,2.0 VR-G,"102,000km",102000,102000,,鹿児島県,2024-04,,,,,141000,,,14.1
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2003,2003年式,2.0 ヴィエント,"132,000km",132000,132000,,島根県,2024-03,,,,,134000,,,13.4
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2003,2003年式,2.0 ヴィエント,"211,000km",211000,211000,,長崎県,2017-12,,,,,49000,,,4.9
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2002,2002年式,2.5 VR-4 4WD,"24,000km",24000,24000,,千葉県,2022-09,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,6/373,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/373/,20260416_061531,三菱,ギャラン,mitsubishi-galant,,2002,2002年式,2.0 VR-G 4WD,"78,000km",78000,78000,,富山県,2021-10,,,,,73000,,,7.3
