record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2009,2009年式,2.4 スポーツギアM 4WD,"51,000km",51000,51000,,東京都,2024-03,,,,,193000,,,19.3
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2009,2009年式,2.4 M,"96,000km",96000,96000,,沖縄県,2022-11,,,,,182000,,,18.2
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 S,"35,000km",35000,35000,,沖縄県,2020-08,,,,,59000,,,5.9
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 S,"59,000km",59000,59000,,東京都,2018-02,,,,,292000,,,29.2
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 スポーツギア 4WD,"64,000km",64000,64000,,長野県,2022-08,,,,,168000,,,16.8
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 スポーツギア 4WD,"65,000km",65000,65000,,青森県,2022-10,,,,,230000,,,23.0
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 M,"95,000km",95000,95000,,福岡県,2016-01,,,,,307000,,,30.7
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 スポーツギアM,"104,000km",104000,104000,,長崎県,2019-06,,,,,148000,,,14.8
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 M,"107,000km",107000,107000,,青森県,2016-04,,,,,157000,,,15.7
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 スポーツギアG 4WD,"122,000km",122000,122000,,山梨県,2025-04,,,,,162000,,,16.2
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 スポーツギアG 4WD,"122,000km",122000,122000,,徳島県,2025-04,,,,,162000,,,16.2
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 エクシード-X 4WD,"138,000km",138000,138000,,愛知県,2020-12,,,,,120000,,,12.0
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 M,"157,000km",157000,157000,,大分県,2023-03,,,,,140000,,,14.0
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 M,"157,000km",157000,157000,,新潟県,2023-03,,,,,140000,,,14.0
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 スポーツギアG,"171,000km",171000,171000,,静岡県,2020-12,,,,,81000,,,8.1
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 G 4WD,"198,000km",198000,198000,,東京都,2022-11,,,,,155000,,,15.5
appraisal_record,kurumaerabi_kaitori,6/6068,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/6068/,20260416_061535,三菱,グランディス,mitsubishi-grandis,,2008,2008年式,2.4 G 4WD,20万km,200000,200000,,茨城県,2025-09,,,,,216000,,,21.6
