record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2019,2019年式,2.0 GSR X 4WD,"95,000km",95000,95000,,埼玉県,2024-07,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2016,2016年式,2.0 ファイナルエディション 4WD,"33,000km",33000,33000,,新潟県,2025-05,,,,,4150000,,,415.0
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2016,2016年式,2.0 GSR 4WD,"49,000km",49000,49000,,宮崎県,2024-12,,,,,2870000,,,287.0
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2016,2016年式,2.0 ファイナルエディション 4WD,"54,000km",54000,54000,,群馬県,2023-04,,,,,4000000,,,400.0
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2016,2016年式,2.0 ファイナルエディション 4WD,"74,000km",74000,74000,,広島県,2022-12,,,,,4015000,,,401.5
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2015,2015年式,2.0 GSR 4WD,1万km,10000,10000,,熊本県,2023-07,,,,,2630000,,,263.0
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2015,2015年式,2.0 GSR X プレミアム 4WD,"13,000km",13000,13000,,鹿児島県,2021-09,,,,,3929000,,,392.9
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2015,2015年式,2.0 GSR 4WD,"14,000km",14000,14000,,富山県,2025-04,,,,,3155000,,,315.5
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2015,2015年式,2.0 GSR 4WD,"23,000km",23000,23000,,千葉県,2024-01,,,,,2515000,,,251.5
appraisal_record,kurumaerabi_kaitori,6/1218,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1218/,20260416_061546,三菱,ランサーエボリューション,mitsubishi-lancer-evolution,,2015,2015年式,2.0 GSR 4WD,"23,000km",23000,23000,,福島県,2025-03,,,,,3305000,,,330.5
