record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2002,2002年式,2.5 VR-4 タイプS 4WD,"126,000km",126000,126000,,東京都,2023-05,,,,,155000,,,15.5
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2002,2002年式,2.5 VR-4 タイプS 4WD,"145,000km",145000,145000,,長野県,2021-09,,,,,530000,,,53.0
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2002,2002年式,2.0 ヴィエント 4WD,0万km,0,0,,佐賀県,2022-07,,,,,103000,,,10.3
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2001,2001年式,2.5 VR-4 4WD,"49,000km",49000,49000,,熊本県,2022-03,,,,,455000,,,45.5
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2001,2001年式,2.5 VR-4 タイプV 4WD,"53,000km",53000,53000,,長野県,2016-05,,,,,205000,,,20.5
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2001,2001年式,2.5 VR-4 タイプS 4WD,"67,000km",67000,67000,,兵庫県,2017-09,,,,,380000,,,38.0
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2001,2001年式,2.4 24 ヴィエント 4WD,7万km,70000,70000,,岡山県,2022-10,,,,,168000,,,16.8
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2001,2001年式,2.5 VR-4 4WD,"78,000km",78000,78000,,熊本県,2018-11,,,,,185000,,,18.5
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2001,2001年式,2.5 VR-4 タイプV 4WD,"78,000km",78000,78000,,茨城県,2018-01,,,,,285000,,,28.5
appraisal_record,kurumaerabi_kaitori,6/7734,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/7734/,20260416_061552,三菱,レグナム,mitsubishi-legnum,,2001,2001年式,2.5 VR-4 タイプS 4WD,"86,000km",86000,86000,,長崎県,2021-01,,,,,415000,,,41.5
