record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ライラ 4WD,"5,000km",5000,5000,,宮城県,2022-04,,,,,161000,,,16.1
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ライラ,"9,000km",9000,9000,,岩手県,2021-09,,,,,69000,,,6.9
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ライラ,"14,000km",14000,14000,,石川県,2021-04,,,,,97000,,,9.7
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ナッティ,"23,000km",23000,23000,,東京都,2021-06,,,,,82000,,,8.2
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ライラ 4WD,"24,000km",24000,24000,,長野県,2023-04,,,,,93000,,,9.3
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ライラ,"29,000km",29000,29000,,京都府,2025-03,,,,,150000,,,15.0
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ライラ,3万km,30000,30000,,愛知県,2024-05,,,,,70000,,,7.0
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ナッティ,"37,000km",37000,37000,,富山県,2023-10,,,,,100000,,,10.0
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ライラ,"43,000km",43000,43000,,茨城県,2021-11,,,,,155000,,,15.5
appraisal_record,kurumaerabi_kaitori,6/17178,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/17178/,20260416_061602,三菱,ミニカ,mitsubishi-minica,,2011,2011年式,ライラ 4WD,"46,000km",46000,46000,,山形県,2022-03,,,,,145000,,,14.5
