record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2019,2019年式,3.2 ロング ファイナル エディション ディーゼル 4WD,"151,000km",151000,151000,,鹿児島県,2024-05,,,,,1955000,,,195.5
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2018,2018年式,3.0 ロング GR 4WD,"29,000km",29000,29000,,青森県,2025-11,,,,,1830000,,,183.0
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2018,2018年式,3.2 ロング エクシード ディーゼル 4WD,"66,000km",66000,66000,,奈良県,2025-05,,,,,2469000,,,246.9
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2018,2018年式,3.0 ロング GR 4WD,7万km,70000,70000,,千葉県,2025-11,,,,,1520000,,,152.0
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2018,2018年式,3.0 ロング GR 4WD,7万km,70000,70000,,埼玉県,2026-01,,,,,1538000,,,153.8
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2018,2018年式,3.2 ロング エクシード ディーゼル 4WD,"83,000km",83000,83000,,宮城県,2023-11,,,,,2410000,,,241.0
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2018,2018年式,3.2 ショート VR-II ディーゼル 4WD,"161,000km",161000,161000,,岐阜県,2025-08,,,,,1000000,,,100.0
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2018,2018年式,3.2 ショート VR-II ディーゼル 4WD,"161,000km",161000,161000,,富山県,2025-08,,,,,1000000,,,100.0
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2018,2018年式,3.2 ショート エクシード ディーゼル 4WD,26万km,260000,260000,,島根県,2025-06,,,,,975000,,,97.5
appraisal_record,kurumaerabi_kaitori,6/1447,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/1447/,20260416_061537,三菱,パジェロ,mitsubishi-pajero,,2017,2017年式,3.0 ロング GR 4WD,"34,000km",34000,34000,,大阪府,2023-11,,,,,1710000,,,171.0
