record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2017,2017年式,2.5 250,"124,000km",124000,124000,,神奈川県,2026-03,,,,,289000,,,28.9
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,3.7 370 4WD,"14,000km",14000,14000,,兵庫県,2023-02,,,,,1330000,,,133.0
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,2.5 250,"21,000km",21000,21000,,神奈川県,2024-08,,,,,1068000,,,106.8
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,3.7 370VIP,"47,000km",47000,47000,,福岡県,2024-05,,,,,1308000,,,130.8
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,2.5 250 VIP,"62,000km",62000,62000,,愛媛県,2025-08,,,,,670000,,,67.0
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,3.7 370VIP,"62,000km",62000,62000,,青森県,2023-01,,,,,1275000,,,127.5
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,2.5 250,"75,000km",75000,75000,,滋賀県,2024-08,,,,,565000,,,56.5
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,3.7 370 4WD,"82,000km",82000,82000,,大阪府,2021-07,,,,,1046000,,,104.6
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,3.7 370 4WD,"82,000km",82000,82000,,三重県,2021-07,,,,,1046000,,,104.6
appraisal_record,kurumaerabi_kaitori,6/19990,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/19990/,20260416_061542,三菱,プラウディア,mitsubishi-proudia,,2016,2016年式,3.7 370VIP,10万km,100000,100000,,千葉県,2021-05,,,,,765000,,,76.5
