record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2025,2025年式,2.4 GSR ディーゼル 4WD,"4,000km",4000,4000,,岐阜県,2025-06,,,,,4205000,,,420.5
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2025,2025年式,2.4 GSR ディーゼル 4WD,"4,000km",4000,4000,,福島県,2025-06,,,,,4205000,,,420.5
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2024,2024年式,2.4 GSR ディーゼル 4WD,"1,000km",1000,1000,,大阪府,2025-02,,,,,4092000,,,409.2
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2024,2024年式,2.4 GSR ディーゼル 4WD,"2,000km",2000,2000,,青森県,2025-12,,,,,4100000,,,410.0
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2024,2024年式,2.4 GSR ディーゼル 4WD,"4,000km",4000,4000,,千葉県,2024-12,,,,,4233000,,,423.3
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2024,2024年式,2.4 GSR ディーゼル 4WD,"6,000km",6000,6000,,東京都,2025-01,,,,,3803000,,,380.3
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2024,2024年式,2.4 GSR ディーゼル 4WD,"9,000km",9000,9000,,香川県,2025-09,,,,,4140000,,,414.0
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2024,2024年式,2.4 GSR ディーゼル 4WD,"19,000km",19000,19000,,宮崎県,2026-03,,,,,4170000,,,417.0
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2024,2024年式,2.4 GSR ディーゼル 4WD,"29,000km",29000,29000,,山口県,2025-07,,,,,4110000,,,411.0
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2011,2011年式,3.5 4WD,"75,000km",75000,75000,,新潟県,2023-03,,,,,1310000,,,131.0
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2011,2011年式,3.5 4WD,"148,000km",148000,148000,,島根県,2025-06,,,,,575000,,,57.5
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2011,2011年式,3.5 4WD,"198,000km",198000,198000,,愛媛県,2021-01,,,,,718000,,,71.8
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2010,2010年式,3.5 4WD,"87,000km",87000,87000,,東京都,2022-07,,,,,1490000,,,149.0
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2010,2010年式,3.5 4WD,"92,000km",92000,92000,,長崎県,2021-06,,,,,1021000,,,102.1
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2010,2010年式,3.5 4WD,"93,000km",93000,93000,,沖縄県,2018-11,,,,,1175000,,,117.5
appraisal_record,kurumaerabi_kaitori,6/20005,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/6/20005/,20260416_061536,三菱,トライトン,mitsubishi-triton,,2010,2010年式,3.5 4WD,"112,000km",112000,112000,,大分県,2021-05,,,,,1005000,,,100.5
