record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2001,2001年式,1.8 ルグラン,"51,000km",51000,51000,,熊本県,2023-11,,,,,151000,,,15.1
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2001,2001年式,2.0 SSS,"52,000km",52000,52000,,福井県,2022-01,,,,,186000,,,18.6
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2001,2001年式,2.0 SSS-Z,"62,000km",62000,62000,,岐阜県,2022-02,,,,,126000,,,12.6
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2001,2001年式,2.0 SSS アテーサ 4WD,"64,000km",64000,64000,,栃木県,2021-06,,,,,350000,,,35.0
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2001,2001年式,1.8 エプリース,"71,000km",71000,71000,,鳥取県,2021-02,,,,,72000,,,7.2
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2001,2001年式,1.8 SSS-X・II,"84,000km",84000,84000,,石川県,2021-01,,,,,240000,,,24.0
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2001,2001年式,1.8 SSS-X・II,"92,000km",92000,92000,,高知県,2022-01,,,,,105000,,,10.5
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2001,2001年式,1.8 エプリース,0万km,0,0,,福井県,2021-01,,,,,54000,,,5.4
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2000,2000年式,1.8 SSS-X・II,"22,000km",22000,22000,,秋田県,2022-07,,,,,122000,,,12.2
appraisal_record,kurumaerabi_kaitori,2/2777,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/2777/,20260416_012629,日産,ブルーバード,nissan-bluebird,,2000,2000年式,2.0 SSS アテーサ 4WD,"67,000km",67000,67000,,福井県,2023-03,,,,,100000,,,10.0
