record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2025,2025年式,2.0 グランドプレミアム GX ロング,"1,000km",1000,1000,,東京都,2025-07,,,,,3043000,,,304.3
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2025,2025年式,2.0 EX ロング,"3,000km",3000,3000,,大分県,2025-12,,,,,2305000,,,230.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2025,2025年式,2.5 ライダー GX スーパーロング,0万km,0,0,,鳥取県,2025-06,,,,,3185000,,,318.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.0 グランドプレミアム GX ロング,"1,000km",1000,1000,,東京都,2025-07,,,,,2820000,,,282.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.5 DX ロング 低床,"2,000km",2000,2000,,広島県,2024-12,,,,,2545000,,,254.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.5 EX スーパーロング ハイルーフ,"3,000km",3000,3000,,福岡県,2025-03,,,,,3000000,,,300.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.0 グランドプレミアム GX ロング,"4,000km",4000,4000,,奈良県,2025-06,,,,,3147000,,,314.7
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 DX ロング ディーゼル 4WD,"8,000km",8000,8000,,千葉県,2025-07,,,,,2713000,,,271.3
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.0 グランドプレミアム GX ロング,"11,000km",11000,11000,,香川県,2025-05,,,,,2800000,,,280.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.0 プレミアム GX ロング,"12,000km",12000,12000,,熊本県,2026-02,,,,,2640000,,,264.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.0 グランドプレミアム GX ロング プロスタイル,"12,000km",12000,12000,,徳島県,2025-05,,,,,3135000,,,313.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 DX ロング ディーゼル,"14,000km",14000,14000,,鳥取県,2025-09,,,,,2395000,,,239.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 グランドプレミアム GX ロング ディーゼル 4WD,"17,000km",17000,17000,,群馬県,2025-08,,,,,3195000,,,319.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.0 グランドプレミアム GX ロング,"18,000km",18000,18000,,沖縄県,2025-11,,,,,2895000,,,289.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 プレミアム GX ロング ディーゼル,"18,000km",18000,18000,,富山県,2024-11,,,,,3225000,,,322.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 DX ロング ディーゼル,"19,000km",19000,19000,,鹿児島県,2025-12,,,,,2030000,,,203.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 EX ロング ディーゼル 4WD,2万km,20000,20000,,大阪府,2025-09,,,,,1344000,,,134.4
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 プレミアム GX ロング ディーゼル,"24,000km",24000,24000,,香川県,2025-12,,,,,2855000,,,285.5
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 DX ロング ディーゼル 4WD,"24,000km",24000,24000,,宮崎県,2025-12,,,,,2990000,,,299.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 グランドプレミアム GX ロング プロスタイル ディーゼル,"27,000km",27000,27000,,岡山県,2025-10,,,,,3230000,,,323.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2024,2024年式,2.4 DX ロング,"41,000km",41000,41000,,兵庫県,2025-06,,,,,1984000,,,198.4
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2023,2023年式,2.4 グランドプレミアム GX ロング ディーゼル 4WD,"1,000km",1000,1000,,大阪府,2023-06,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2023,2023年式,2.4 グランドプレミアム GX ロング ディーゼル 4WD,"1,000km",1000,1000,,大阪府,2023-05,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2023,2023年式,2.0 グランドプレミアム GX ロング,"1,000km",1000,1000,,大阪府,2024-05,,,,,2960000,,,296.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2023,2023年式,2.4 EX ロング ディーゼル,"2,000km",2000,2000,,岡山県,2024-03,,,,,2500000,,,250.0
appraisal_record,kurumaerabi_kaitori,2/3132,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/3132/,20260416_012602,日産,キャラバン,nissan-caravan,,2023,2023年式,2.4 DX スーパーロング ハイルーフ ディーゼル 4WD,"2,000km",2000,2000,,福島県,2024-09,,,,,2780000,,,278.0
