record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2025,2025年式,X Vセレクション,"1,000km",1000,1000,,島根県,2025-08,,,,,1404000,,,140.4
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2025,2025年式,X Vセレクション,"1,000km",1000,1000,,和歌山県,2025-08,,,,,1404000,,,140.4
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2025,2025年式,X Vセレクション 90周年記念車,0万km,0,0,,宮城県,2025-10,,,,,1920000,,,192.0
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2025,2025年式,X Vセレクション 90周年記念車,0万km,0,0,,熊本県,2025-10,,,,,1920000,,,192.0
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X Vセレクション,"1,000km",1000,1000,,島根県,2025-10,,,,,1944000,,,194.4
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,NISMO,"1,000km",1000,1000,,大分県,2025-10,,,,,2250000,,,225.0
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,NISMO,"1,000km",1000,1000,,秋田県,2025-10,,,,,2250000,,,225.0
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X,"2,000km",2000,2000,,鹿児島県,2025-10,,,,,1457000,,,145.7
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X,"2,000km",2000,2000,,福島県,2025-10,,,,,1457000,,,145.7
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X Vセレクション,"2,000km",2000,2000,,群馬県,2025-06,,,,,1875000,,,187.5
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,e+ X,"2,000km",2000,2000,,富山県,2026-03,,,,,1983000,,,198.3
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X Vセレクション,"3,000km",3000,3000,,神奈川県,2025-09,,,,,2022000,,,202.2
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X 10万台記念車,"4,000km",4000,4000,,静岡県,2026-03,,,,,1475000,,,147.5
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X Vセレクション,"4,000km",4000,4000,,静岡県,2025-01,,,,,1836000,,,183.6
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X Vセレクション,"4,000km",4000,4000,,広島県,2025-01,,,,,1836000,,,183.6
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,e+ X 90周年記念車,"4,000km",4000,4000,,神奈川県,2026-03,,,,,1955000,,,195.5
appraisal_record,kurumaerabi_kaitori,2/21784,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/21784/,20260416_012544,日産,リーフ,nissan-leaf,,2024,2024年式,X Vセレクション 90周年記念車,"4,000km",4000,4000,,宮崎県,2025-10,,,,,2079000,,,207.9
