record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2025,2025年式,2.0 ハイウェイスターV 4WD,"1,000km",1000,1000,,新潟県,2025-11,,,,,2617000,,,261.7
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2025,2025年式,2.0 ハイウェイスターV,"23,000km",23000,23000,,宮崎県,2026-02,,,,,2754000,,,275.4
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2025,2025年式,2.0 ハイウェイスターV,0万km,0,0,,三重県,2025-08,,,,,2203000,,,220.3
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2025,2025年式,2.0 ハイウェイスターV,0万km,0,0,,新潟県,2025-08,,,,,2203000,,,220.3
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2025,2025年式,2.0 ハイウェイスターV,0万km,0,0,,千葉県,2025-09,,,,,2274000,,,227.4
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2025,2025年式,2.0 ハイウェイスターV,0万km,0,0,,鹿児島県,2025-10,,,,,2810000,,,281.0
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2025,2025年式,1.4 e-POWER ハイウェイスターV,0万km,0,0,,徳島県,2025-07,,,,,2861000,,,286.1
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2025,2025年式,1.4 e-POWER ハイウェイスターV,0万km,0,0,,宮崎県,2025-07,,,,,2861000,,,286.1
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2024,2024年式,1.4 e-POWER ハイウェイスターV,"2,000km",2000,2000,,青森県,2025-08,,,,,2314000,,,231.4
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2024,2024年式,1.4 e-POWER ハイウェイスターV,"2,000km",2000,2000,,福岡県,2025-08,,,,,2314000,,,231.4
appraisal_record,kurumaerabi_kaitori,2/224,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/224/,20260416_012537,日産,セレナ,nissan-serena,,2024,2024年式,1.2 e-POWER ハイウェイスターV,"2,000km",2000,2000,,島根県,2025-12,,,,,2474000,,,247.4
