record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2003,2003年式,2.0 スペックR Vパッケージ,"24,000km",24000,24000,,徳島県,2018-11,,,,,99000,,,9.9
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2003,2003年式,2.0 スペックS Lパッケージ,"32,000km",32000,32000,,佐賀県,2018-11,,,,,54000,,,5.4
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2003,2003年式,2.0 スペックS Vパッケージ,4万km,40000,40000,,高知県,2018-11,,,,,97000,,,9.7
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2003,2003年式,2.0 スペックR エアロ,"55,000km",55000,55000,,香川県,2018-11,,,,,201000,,,20.1
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2003,2003年式,2.0 スペックR Vパッケージ,"74,000km",74000,74000,,兵庫県,2023-09,,,,,3043000,,,304.3
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2003,2003年式,2.0 スペックR,"82,000km",82000,82000,,福岡県,2018-11,,,,,84000,,,8.4
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックS Lパッケージ,"15,000km",15000,15000,,佐賀県,2025-03,,,,,1885000,,,188.5
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックR,2万km,20000,20000,,宮崎県,2018-11,,,,,590000,,,59.0
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックR,3万km,30000,30000,,鹿児島県,2018-11,,,,,205000,,,20.5
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックR Vパッケージ,"33,000km",33000,33000,,福岡県,2022-12,,,,,2565000,,,256.5
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックS Gパッケージ,"34,000km",34000,34000,,沖縄県,2018-11,,,,,243000,,,24.3
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックS エアロ,"38,000km",38000,38000,,新潟県,2023-03,,,,,1345000,,,134.5
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックS エアロ,"38,000km",38000,38000,,熊本県,2023-03,,,,,1345000,,,134.5
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックR,"57,000km",57000,57000,,京都府,2023-09,,,,,3035000,,,303.5
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックR Vパッケージ,"59,000km",59000,59000,,宮城県,2020-09,,,,,2980000,,,298.0
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックS Vパッケージ,"64,000km",64000,64000,,三重県,2021-03,,,,,1805000,,,180.5
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックR Vパッケージ,"65,000km",65000,65000,,富山県,2023-04,,,,,3390000,,,339.0
appraisal_record,kurumaerabi_kaitori,2/17034,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/2/17034/,20260416_012607,日産,シルビア,nissan-silvia,,2002,2002年式,2.0 スペックR Vパッケージ,"66,000km",66000,66000,,青森県,2025-02,,,,,3240000,,,324.0
