record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 i アイサイト 4WD,"45,000km",45000,45000,,山口県,2024-08,,,,,370000,,,37.0
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 i アイサイト 4WD,5万km,50000,50000,,奈良県,2023-05,,,,,395000,,,39.5
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 i アイサイト 4WD,"55,000km",55000,55000,,東京都,2024-06,,,,,595000,,,59.5
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 エアブレイク 4WD,"56,000km",56000,56000,,熊本県,2025-04,,,,,600000,,,60.0
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 i アイサイト 4WD,6万km,60000,60000,,長崎県,2024-04,,,,,400000,,,40.0
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 i アイサイト 4WD,6万km,60000,60000,,宮崎県,2023-03,,,,,595000,,,59.5
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 i アイサイト 4WD,"64,000km",64000,64000,,富山県,2024-10,,,,,154000,,,15.4
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.0 i-L,"66,000km",66000,66000,,埼玉県,2025-05,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 エアブレイク 4WD,"68,000km",68000,68000,,愛知県,2026-01,,,,,410000,,,41.0
appraisal_record,kurumaerabi_kaitori,7/21142,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21142/,20260416_145805,スバル,エクシーガ,subaru-exiga,,2015,2015年式,2.5 i 4WD,"73,000km",73000,73000,,高知県,2026-01,,,,,365000,,,36.5
