record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,2004,2004年式,2.0 WRX バージョンII 4WD,"42,000km",42000,42000,,東京都,2026-01,,,,,802000,,,80.2
appraisal_record,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,2002,2002年式,2.0 4WD,"64,000km",64000,64000,,兵庫県,2021-07,,,,,1034000,,,103.4
appraisal_record,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,2001,2001年式,2.0 WRX バージョンV 4WD,"106,000km",106000,106000,,青森県,2026-01,,,,,2030000,,,203.0
appraisal_record,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,2001,2001年式,2.0 4WD,"112,000km",112000,112000,,広島県,2024-02,,,,,286000,,,28.6
appraisal_record,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,1999,1999年式,2.0 WRX バージョンVI リミテッド 4WD,"128,000km",128000,128000,,大阪府,2018-03,,,,,405000,,,40.5
appraisal_record,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,1997,1997年式,2.0 WRX バージョンV 4WD,"184,000km",184000,184000,,青森県,2017-10,,,,,269000,,,26.9
appraisal_record,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,1996,1996年式,2.0 WRX バージョンIII Vリミテッド 4WD,"98,000km",98000,98000,,和歌山県,2018-03,,,,,630000,,,63.0
appraisal_record,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,1995,1995年式,2.0 WRX バージョンII 555 4WD,"139,000km",139000,139000,,大阪府,2024-03,,,,,1462000,,,146.2
mileage_market,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,,,,5万km,50000,59999,,,,,,802000,802000,,80.2,80.2,
mileage_market,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,,,,7万km,70000,79999,,,,,,1034000,1034000,,103.4,103.4,
mileage_market,kurumaerabi_kaitori,7/22521,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22521/,20260416_145804,スバル,インプレッサスポーツワゴンSTI,subaru-impreza-sports-wagon-sti,,,,,10万km,100000,109999,,,,,,630000,630000,,63.0,63.0,
