record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2015,2015年式,1.5 15i,"34,000km",34000,34000,,大阪府,2017-02,,,,,75000,,,7.5
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2015,2015年式,1.5 15i,"34,000km",34000,34000,,福島県,2017-02,,,,,75000,,,7.5
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2013,2013年式,1.5 15i,"64,000km",64000,64000,,埼玉県,2019-03,,,,,96000,,,9.6
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2013,2013年式,1.5 15i リミテッド,"87,000km",87000,87000,,大阪府,2018-01,,,,,470000,,,47.0
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2011,2011年式,1.5 15i リミテッド,"58,000km",58000,58000,,富山県,2021-01,,,,,260000,,,26.0
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2011,2011年式,1.5 15i リミテッド,"58,000km",58000,58000,,鳥取県,2021-01,,,,,260000,,,26.0
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2011,2011年式,1.5 15i リミテッド,"73,000km",73000,73000,,石川県,2021-01,,,,,177000,,,17.7
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2011,2011年式,1.5 15i リミテッド,"73,000km",73000,73000,,島根県,2021-01,,,,,177000,,,17.7
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2011,2011年式,1.5 15i 4WD,"76,000km",76000,76000,,宮城県,2021-02,,,,,93000,,,9.3
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2011,2011年式,2.0 20S 4WD,"124,000km",124000,124000,,宮崎県,2016-09,,,,,377000,,,37.7
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i,"23,000km",23000,23000,,富山県,2016-09,,,,,584000,,,58.4
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド,"28,000km",28000,28000,,愛知県,2017-05,,,,,775000,,,77.5
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド,"32,000km",32000,32000,,埼玉県,2018-01,,,,,695000,,,69.5
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド,"35,000km",35000,35000,,岐阜県,2018-02,,,,,735000,,,73.5
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド 4WD,"36,000km",36000,36000,,福井県,2019-08,,,,,450000,,,45.0
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 i スペシャル,"38,000km",38000,38000,,栃木県,2021-02,,,,,267000,,,26.7
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド,"38,000km",38000,38000,,広島県,2017-09,,,,,602000,,,60.2
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド,"41,000km",41000,41000,,佐賀県,2016-12,,,,,803000,,,80.3
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド,"42,000km",42000,42000,,奈良県,2017-07,,,,,641000,,,64.1
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド,"44,000km",44000,44000,,静岡県,2018-03,,,,,715000,,,71.5
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド 4WD,"45,000km",45000,45000,,山梨県,2018-02,,,,,744000,,,74.4
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド 4WD,"46,000km",46000,46000,,福井県,2018-02,,,,,860000,,,86.0
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド,5万km,50000,50000,,兵庫県,2018-02,,,,,455000,,,45.5
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 15i リミテッド 4WD,5万km,50000,50000,,群馬県,2018-10,,,,,715000,,,71.5
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 i,"54,000km",54000,54000,,石川県,2017-02,,,,,337000,,,33.7
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 i,"54,000km",54000,54000,,大分県,2017-02,,,,,337000,,,33.7
appraisal_record,kurumaerabi_kaitori,7/20021,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20021/,20260416_145750,スバル,インプレッサ,subaru-impreza,,2010,2010年式,1.5 i スペシャル 4WD,"54,000km",54000,54000,,長崎県,2021-01,,,,,340000,,,34.0
