record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2018,2018年式,2.5 4WD,3万km,30000,30000,,愛知県,2023-04,,,,,1615000,,,161.5
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2013,2013年式,2.5 4WD,"6,000km",6000,6000,,福岡県,2014-11,,,,,1970000,,,197.0
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2012,2012年式,2.5 4WD,1万km,10000,10000,,熊本県,2014-12,,,,,1905000,,,190.5
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2012,2012年式,2.5 4WD,"14,000km",14000,14000,,大分県,2014-12,,,,,1359000,,,135.9
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2012,2012年式,2.5 4WD,"25,000km",25000,25000,,佐賀県,2014-12,,,,,1680000,,,168.0
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2012,2012年式,2.5 4WD,"78,000km",78000,78000,,宮崎県,2014-12,,,,,1543000,,,154.3
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2011,2011年式,2.5 4WD,2万km,20000,20000,,青森県,2014-12,,,,,1637000,,,163.7
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2011,2011年式,2.5 4WD,"23,000km",23000,23000,,東京都,2014-11,,,,,1570000,,,157.0
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2011,2011年式,2.5 4WD,"34,000km",34000,34000,,沖縄県,2014-12,,,,,1635000,,,163.5
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2011,2011年式,2.5 4WD,"48,000km",48000,48000,,岩手県,2014-12,,,,,1405000,,,140.5
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2011,2011年式,2.5 4WD,8万km,80000,80000,,鹿児島県,2014-11,,,,,1005000,,,100.5
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2010,2010年式,2.5 4WD,"22,000km",22000,22000,,山形県,2014-12,,,,,1720000,,,172.0
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,2010,2010年式,2.5 4WD,"38,000km",38000,38000,,秋田県,2014-11,,,,,1244000,,,124.4
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,1998,1998年式,2.5 クルーザー 4WD,"133,000km",133000,133000,,愛知県,2021-11,,,,,106000,,,10.6
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,1997,1997年式,2.5 4WD,"44,000km",44000,44000,,東京都,2025-10,,,,,595000,,,59.5
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,1997,1997年式,2.5 4WD,"64,000km",64000,64000,,富山県,2022-03,,,,,459000,,,45.9
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,1997,1997年式,2.5 4WD,26万km,260000,260000,,徳島県,2024-04,,,,,212000,,,21.2
appraisal_record,kurumaerabi_kaitori,7/17463,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/17463/,20260416_145730,スバル,レガシィグランドワゴン,subaru-legacy-grand-wagon,,1996,1996年式,2.5 クルーザー 4WD,"45,000km",45000,45000,,埼玉県,2015-08,,,,,85000,,,8.5
