record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2003,2003年式,2.5 4WD,"25,000km",25000,25000,,埼玉県,2021-04,,,,,146000,,,14.6
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2003,2003年式,3.0 6 4WD,6万km,60000,60000,,群馬県,2022-04,,,,,204000,,,20.4
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2003,2003年式,3.0 6 4WD,"88,000km",88000,88000,,埼玉県,2022-01,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2003,2003年式,3.0 6 4WD,"93,000km",93000,93000,,群馬県,2021-02,,,,,171000,,,17.1
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2003,2003年式,3.0 6 ADA 4WD,"128,000km",128000,128000,,奈良県,2024-10,,,,,285000,,,28.5
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2002,2002年式,3.0 6 4WD,"33,000km",33000,33000,,徳島県,2020-12,,,,,222000,,,22.2
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2002,2002年式,3.0 6 4WD,"51,000km",51000,51000,,栃木県,2019-09,,,,,154000,,,15.4
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2002,2002年式,3.0 6 4WD,"56,000km",56000,56000,,埼玉県,2021-05,,,,,281000,,,28.1
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2002,2002年式,2.5 S 4WD,"66,000km",66000,66000,,福井県,2022-10,,,,,232000,,,23.2
appraisal_record,kurumaerabi_kaitori,7/8365,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/8365/,20260416_145729,スバル,レガシィランカスター,subaru-legacy-lancaster,,2002,2002年式,2.5 S 4WD,"69,000km",69000,69000,,埼玉県,2022-11,,,,,127000,,,12.7
