record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2025,2025年式,1.8 リミテッド EX 4WD,"7,000km",7000,7000,,長野県,2025-12,,,,,3105000,,,310.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2025,2025年式,1.8 ブラック セレクション 4WD,"12,000km",12000,12000,,大阪府,2026-02,,,,,2910000,,,291.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"2,000km",2000,2000,,新潟県,2025-03,,,,,3345000,,,334.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"3,000km",3000,3000,,愛媛県,2026-02,,,,,3110000,,,311.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"5,000km",5000,5000,,新潟県,2026-01,,,,,2390000,,,239.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"5,000km",5000,5000,,茨城県,2025-06,,,,,3115000,,,311.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"5,000km",5000,5000,,山形県,2025-11,,,,,3350000,,,335.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"5,000km",5000,5000,,岐阜県,2025-01,,,,,3398000,,,339.8
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"6,000km",6000,6000,,福島県,2025-11,,,,,2980000,,,298.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"6,000km",6000,6000,,徳島県,2025-04,,,,,3155000,,,315.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"6,000km",6000,6000,,福岡県,2025-04,,,,,3155000,,,315.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"6,000km",6000,6000,,佐賀県,2025-07,,,,,3170000,,,317.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"6,000km",6000,6000,,熊本県,2024-11,,,,,3350000,,,335.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"6,000km",6000,6000,,富山県,2025-02,,,,,3405000,,,340.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"8,000km",8000,8000,,大阪府,2025-07,,,,,2890000,,,289.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"8,000km",8000,8000,,福島県,2025-06,,,,,3180000,,,318.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"9,000km",9000,9000,,岐阜県,2025-11,,,,,3140000,,,314.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"9,000km",9000,9000,,大分県,2025-09,,,,,3140000,,,314.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,1万km,10000,10000,,神奈川県,2025-04,,,,,3445000,,,344.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"12,000km",12000,12000,,静岡県,2025-12,,,,,3015000,,,301.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"14,000km",14000,14000,,神奈川県,2026-01,,,,,2900000,,,290.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"14,000km",14000,14000,,福岡県,2026-02,,,,,2910000,,,291.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"16,000km",16000,16000,,長崎県,2025-06,,,,,2670000,,,267.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"16,000km",16000,16000,,長崎県,2026-02,,,,,2685000,,,268.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"18,000km",18000,18000,,奈良県,2025-10,,,,,3005000,,,300.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"24,000km",24000,24000,,鳥取県,2026-03,,,,,2440000,,,244.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"25,000km",25000,25000,,宮崎県,2025-09,,,,,2781000,,,278.1
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"28,000km",28000,28000,,埼玉県,2025-10,,,,,2588000,,,258.8
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"29,000km",29000,29000,,愛知県,2026-04,,,,,2539000,,,253.9
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,3万km,30000,30000,,和歌山県,2026-03,,,,,2765000,,,276.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,"45,000km",45000,45000,,島根県,2026-02,,,,,2250000,,,225.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,0万km,0,0,,岩手県,2024-11,,,,,2090000,,,209.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2024,2024年式,1.8 リミテッド EX 4WD,0万km,0,0,,愛媛県,2025-02,,,,,3400000,,,340.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"2,000km",2000,2000,,愛知県,2025-12,,,,,2985000,,,298.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"6,000km",6000,6000,,栃木県,2025-06,,,,,3305000,,,330.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"6,000km",6000,6000,,大分県,2024-11,,,,,3495000,,,349.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"8,000km",8000,8000,,京都府,2025-07,,,,,3005000,,,300.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,1万km,10000,10000,,和歌山県,2025-10,,,,,3045000,,,304.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"12,000km",12000,12000,,兵庫県,2025-08,,,,,2890000,,,289.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"12,000km",12000,12000,,三重県,2025-12,,,,,2904000,,,290.4
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"12,000km",12000,12000,,富山県,2026-01,,,,,2930000,,,293.0
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"13,000km",13000,13000,,鹿児島県,2025-08,,,,,3018000,,,301.8
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"18,000km",18000,18000,,沖縄県,2025-08,,,,,2965000,,,296.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,2万km,20000,20000,,群馬県,2025-06,,,,,3175000,,,317.5
appraisal_record,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,2023,2023年式,1.8 リミテッド EX 4WD,"25,000km",25000,25000,,大分県,2026-01,,,,,2885000,,,288.5
mileage_market,kurumaerabi_kaitori,7/23410,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/23410/,20260416_145814,スバル,レヴォーグレイバック,subaru-levorg-layback,,,,,1万km,10000,19999,,,,,,3045000,3350000,,304.5,335.0,
