record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 STI スポーツ EX 4WD,"2,000km",2000,2000,,宮城県,2025-05,,,,,3185000,,,318.5
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 STI スポーツ EX 4WD,"3,000km",3000,3000,,沖縄県,2024-12,,,,,3505000,,,350.5
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,2.4 STI スポーツR EX ブラックインテリアセレクション 4WD,"4,000km",4000,4000,,熊本県,2025-06,,,,,3515000,,,351.5
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,2.4 STI スポーツR EX ブラックインテリアセレクション 4WD,"5,000km",5000,5000,,福島県,2025-03,,,,,2450000,,,245.0
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 STI スポーツ EX 4WD,"5,000km",5000,5000,,東京都,2025-10,,,,,2990000,,,299.0
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 GT-H EX 4WD,"7,000km",7000,7000,,高知県,2025-02,,,,,2715000,,,271.5
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 STI スポーツ EX ブラックインテリアセレクション 4WD,"11,000km",11000,11000,,高知県,2025-11,,,,,1870000,,,187.0
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 STI スポーツ EX ブラックインテリアセレクション 4WD,"12,000km",12000,12000,,長崎県,2024-11,,,,,3460000,,,346.0
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 STI スポーツ EX ブラックインテリアセレクション 4WD,"12,000km",12000,12000,,奈良県,2025-04,,,,,3525000,,,352.5
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 GT-H EX 4WD,"14,000km",14000,14000,,秋田県,2025-06,,,,,2500000,,,250.0
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,2.4 STI スポーツR 4WD,"15,000km",15000,15000,,愛媛県,2025-02,,,,,2855000,,,285.5
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 STI スポーツ EX 4WD,"19,000km",19000,19000,,山梨県,2025-08,,,,,2677000,,,267.7
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 GT-H EX 4WD,"21,000km",21000,21000,,京都府,2025-09,,,,,2466000,,,246.6
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 GT-H EX 4WD,"22,000km",22000,22000,,岡山県,2026-03,,,,,2238000,,,223.8
appraisal_record,kurumaerabi_kaitori,7/22112,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/22112/,20260416_145814,スバル,レヴォーグ,subaru-levorg,,2024,2024年式,1.8 STI スポーツ EX 4WD,"28,000km",28000,28000,,長野県,2025-07,,,,,2570000,,,257.0
