record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2015,2015年式,R,"72,000km",72000,72000,,兵庫県,2016-12,,,,,279000,,,27.9
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2015,2015年式,S レザー＆アルカンターラセレクション,"74,000km",74000,74000,,栃木県,2016-12,,,,,459000,,,45.9
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2015,2015年式,R,"81,000km",81000,81000,,奈良県,2016-12,,,,,157000,,,15.7
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2014,2014年式,R,"41,000km",41000,41000,,和歌山県,2016-12,,,,,282000,,,28.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2012,2012年式,R 4WD,"36,000km",36000,36000,,茨城県,2018-12,,,,,357000,,,35.7
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2012,2012年式,R 4WD,"36,000km",36000,36000,,愛媛県,2018-02,,,,,357000,,,35.7
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R,"17,000km",17000,17000,,沖縄県,2021-01,,,,,455000,,,45.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R,"27,000km",27000,27000,,大分県,2021-04,,,,,355000,,,35.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R,"33,000km",33000,33000,,佐賀県,2025-11,,,,,364000,,,36.4
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"39,000km",39000,39000,,徳島県,2020-09,,,,,685000,,,68.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,4万km,40000,40000,,沖縄県,2023-10,,,,,556000,,,55.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S 4WD,4万km,40000,40000,,鹿児島県,2020-10,,,,,560000,,,56.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"42,000km",42000,42000,,佐賀県,2021-04,,,,,560000,,,56.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"43,000km",43000,43000,,愛知県,2022-10,,,,,362000,,,36.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"44,000km",44000,44000,,静岡県,2022-10,,,,,435000,,,43.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"65,000km",65000,65000,,愛媛県,2023-12,,,,,570000,,,57.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,7万km,70000,70000,,栃木県,2023-02,,,,,339000,,,33.9
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"73,000km",73000,73000,,千葉県,2025-06,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S,"74,000km",74000,74000,,沖縄県,2020-12,,,,,506000,,,50.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"76,000km",76000,76000,,宮崎県,2020-07,,,,,256000,,,25.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"76,000km",76000,76000,,奈良県,2022-06,,,,,324000,,,32.4
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"76,000km",76000,76000,,東京都,2021-09,,,,,534000,,,53.4
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R,"77,000km",77000,77000,,三重県,2025-10,,,,,335000,,,33.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"78,000km",78000,78000,,島根県,2023-11,,,,,690000,,,69.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"81,000km",81000,81000,,青森県,2020-12,,,,,286000,,,28.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド 4WD,"84,000km",84000,84000,,山梨県,2022-11,,,,,606000,,,60.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"94,000km",94000,94000,,広島県,2024-11,,,,,105000,,,10.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"94,000km",94000,94000,,岡山県,2024-11,,,,,189000,,,18.9
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S,"97,000km",97000,97000,,香川県,2020-09,,,,,263000,,,26.3
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"97,000km",97000,97000,,長崎県,2022-01,,,,,330000,,,33.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R 4WD,"98,000km",98000,98000,,熊本県,2021-04,,,,,109000,,,10.9
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,10万km,100000,100000,,東京都,2025-04,,,,,177000,,,17.7
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,R プレミアム ブラック リミテッド,"101,000km",101000,101000,,長崎県,2021-04,,,,,157000,,,15.7
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S,"103,000km",103000,103000,,愛媛県,2020-08,,,,,269000,,,26.9
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"103,000km",103000,103000,,千葉県,2022-08,,,,,430000,,,43.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S,"105,000km",105000,105000,,岐阜県,2023-04,,,,,215000,,,21.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S,"118,000km",118000,118000,,宮城県,2021-05,,,,,212000,,,21.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S,"121,000km",121000,121000,,福井県,2023-01,,,,,260000,,,26.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド 4WD,"123,000km",123000,123000,,福岡県,2021-03,,,,,272000,,,27.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"125,000km",125000,125000,,兵庫県,2023-11,,,,,351000,,,35.1
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"125,000km",125000,125000,,山梨県,2023-11,,,,,351000,,,35.1
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"129,000km",129000,129000,,山形県,2025-04,,,,,302000,,,30.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"138,000km",138000,138000,,岡山県,2023-11,,,,,208000,,,20.8
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S,"152,000km",152000,152000,,東京都,2020-12,,,,,102000,,,10.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド 4WD,"161,000km",161000,161000,,島根県,2021-01,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド 4WD,"161,000km",161000,161000,,沖縄県,2021-01,,,,,160000,,,16.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2010,2010年式,S プレミアム ブラック リミテッド,"173,000km",173000,173000,,東京都,2024-06,,,,,204000,,,20.4
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"4,000km",4000,4000,,岐阜県,2020-02,,,,,175000,,,17.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"4,000km",4000,4000,,秋田県,2020-02,,,,,175000,,,17.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,2万km,20000,20000,,東京都,2018-03,,,,,462000,,,46.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"25,000km",25000,25000,,山形県,2018-11,,,,,246000,,,24.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"25,000km",25000,25000,,徳島県,2018-01,,,,,246000,,,24.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"28,000km",28000,28000,,長崎県,2019-02,,,,,606000,,,60.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R レザー＆アルカンターラセレクション,"29,000km",29000,29000,,愛知県,2018-02,,,,,420000,,,42.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R レザー＆アルカンターラセレクション,"31,000km",31000,31000,,三重県,2022-10,,,,,309000,,,30.9
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド 4WD,"32,000km",32000,32000,,島根県,2018-11,,,,,533000,,,53.3
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド 4WD,"32,000km",32000,32000,,香川県,2018-11,,,,,533000,,,53.3
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"33,000km",33000,33000,,沖縄県,2020-07,,,,,255000,,,25.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"34,000km",34000,34000,,広島県,2018-09,,,,,410000,,,41.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"34,000km",34000,34000,,青森県,2018-07,,,,,480000,,,48.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S プレミアム ブラック リミテッド,"35,000km",35000,35000,,宮城県,2020-02,,,,,585000,,,58.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S プレミアム ブラック リミテッド,"35,000km",35000,35000,,長野県,2020-02,,,,,585000,,,58.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R 4WD,"37,000km",37000,37000,,神奈川県,2024-06,,,,,244000,,,24.4
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R レザー＆アルカンターラセレクション,"38,000km",38000,38000,,新潟県,2019-03,,,,,300000,,,30.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,4万km,40000,40000,,鳥取県,2022-03,,,,,335000,,,33.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"41,000km",41000,41000,,大分県,2021-10,,,,,301000,,,30.1
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"41,000km",41000,41000,,宮崎県,2021-06,,,,,346000,,,34.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"42,000km",42000,42000,,静岡県,2022-11,,,,,312000,,,31.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"42,000km",42000,42000,,東京都,2021-12,,,,,345000,,,34.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"43,000km",43000,43000,,福岡県,2018-08,,,,,450000,,,45.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"44,000km",44000,44000,,石川県,2018-04,,,,,624000,,,62.4
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S レザー＆アルカンターラセレクション,"45,000km",45000,45000,,福島県,2016-12,,,,,635000,,,63.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"48,000km",48000,48000,,広島県,2024-10,,,,,280000,,,28.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S プレミアム ブラック リミテッド,5万km,50000,50000,,岐阜県,2019-09,,,,,534000,,,53.4
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S,"51,000km",51000,51000,,鹿児島県,2020-07,,,,,425000,,,42.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"52,000km",52000,52000,,宮崎県,2017-03,,,,,594000,,,59.4
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"53,000km",53000,53000,,岩手県,2026-03,,,,,223000,,,22.3
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S 4WD,"53,000km",53000,53000,,宮崎県,2020-10,,,,,265000,,,26.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"53,000km",53000,53000,,東京都,2022-08,,,,,435000,,,43.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S 4WD,"53,000km",53000,53000,,香川県,2017-07,,,,,646000,,,64.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"55,000km",55000,55000,,神奈川県,2025-06,,,,,97000,,,9.7
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"56,000km",56000,56000,,岐阜県,2018-04,,,,,520000,,,52.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"56,000km",56000,56000,,千葉県,2017-10,,,,,660000,,,66.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S プレミアム ブラック リミテッド,"58,000km",58000,58000,,長野県,2019-09,,,,,600000,,,60.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"62,000km",62000,62000,,島根県,2022-03,,,,,162000,,,16.2
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"62,000km",62000,62000,,岩手県,2017-03,,,,,467000,,,46.7
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"63,000km",63000,63000,,熊本県,2019-02,,,,,390000,,,39.0
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"65,000km",65000,65000,,富山県,2019-03,,,,,369000,,,36.9
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R 4WD,"66,000km",66000,66000,,秋田県,2021-05,,,,,208000,,,20.8
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S,"66,000km",66000,66000,,奈良県,2023-12,,,,,396000,,,39.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,S,"66,000km",66000,66000,,長野県,2023-12,,,,,396000,,,39.6
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド 4WD,"67,000km",67000,67000,,兵庫県,2018-06,,,,,457000,,,45.7
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"67,000km",67000,67000,,大阪府,2017-01,,,,,613000,,,61.3
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R,"69,000km",69000,69000,,埼玉県,2018-10,,,,,285000,,,28.5
appraisal_record,kurumaerabi_kaitori,7/20014,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/20014/,20260416_145720,スバル,R1,subaru-r1,,2009,2009年式,R プレミアム ブラック リミテッド,"69,000km",69000,69000,,熊本県,2022-09,,,,,364000,,,36.4
