record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2015,2015年式,IIサンサンルーフスーパーチャージャー,"95,000km",95000,95000,,京都府,2018-03,,,,,180000,,,18.0
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2011,2011年式,スーパーチャージャー 4WD,"59,000km",59000,59000,,埼玉県,2021-07,,,,,417000,,,41.7
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2011,2011年式,スーパーチャージャー 4WD,"178,000km",178000,178000,,徳島県,2022-05,,,,,217000,,,21.7
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2009,2009年式,スーパーチャージャー,"89,000km",89000,89000,,徳島県,2021-06,,,,,271000,,,27.1
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2009,2009年式,スーパーチャージャー,"134,000km",134000,134000,,愛知県,2022-03,,,,,90000,,,9.0
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2009,2009年式,スーパーチャージャー,"134,000km",134000,134000,,愛知県,2023-04,,,,,126000,,,12.6
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2009,2009年式,スーパーチャージャー 4WD,"135,000km",135000,135000,,新潟県,2016-10,,,,,300000,,,30.0
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2008,2008年式,ベースグレード 4WD,"81,000km",81000,81000,,東京都,2024-06,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2008,2008年式,スーパーチャージャー,"95,000km",95000,95000,,岐阜県,2021-07,,,,,87000,,,8.7
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2008,2008年式,ベースグレード,"96,000km",96000,96000,,兵庫県,2023-03,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2008,2008年式,ベースグレード 4WD,11万km,110000,110000,,愛知県,2022-11,,,,,144000,,,14.4
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2008,2008年式,ベースグレード,"129,000km",129000,129000,,愛知県,2022-07,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2008,2008年式,スーパーチャージャー 4WD,18万km,180000,180000,,大阪府,2021-06,,,,,50000,,,5.0
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2007,2007年式,スーパーチャージャー 4WD,"33,000km",33000,33000,,兵庫県,2022-03,,,,,333000,,,33.3
appraisal_record,kurumaerabi_kaitori,7/16117,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/16117/,20260416_145744,スバル,サンバーディアス,subaru-sambar-dias,,2007,2007年式,ベースグレード,"69,000km",69000,69000,,岐阜県,2025-02,,,,,50000,,,5.0
