record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.3 i,"18,000km",18000,18000,,兵庫県,2023-03,,,,,516000,,,51.6
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.5 i-S 4WD,"27,000km",27000,27000,,山形県,2025-06,,,,,465000,,,46.5
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.5 i,"28,000km",28000,28000,,愛媛県,2021-02,,,,,370000,,,37.0
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.5 i-L,"32,000km",32000,32000,,長野県,2021-04,,,,,365000,,,36.5
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.3 i-L,"53,000km",53000,53000,,山梨県,2023-04,,,,,480000,,,48.0
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.5 i-S,"68,000km",68000,68000,,鹿児島県,2024-10,,,,,480000,,,48.0
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.3 i,"88,000km",88000,88000,,新潟県,2024-03,,,,,256000,,,25.6
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.3 i-L,"88,000km",88000,88000,,高知県,2020-09,,,,,469000,,,46.9
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.5 i,"95,000km",95000,95000,,群馬県,2023-06,,,,,486000,,,48.6
appraisal_record,kurumaerabi_kaitori,7/21783,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/7/21783/,20260416_145736,スバル,トレジア,subaru-trezia,,2016,2016年式,1.5 i-S 4WD,"139,000km",139000,139000,,徳島県,2025-03,,,,,266000,,,26.6
