record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2026,2026年式,PZターボスペシャル ハイルーフ,"1,000km",1000,1000,,東京都,2026-03,,,,,1461000,,,146.1
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2026,2026年式,PZターボスペシャル ハイルーフ,"1,000km",1000,1000,,東京都,2026-03,,,,,1461000,,,146.1
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2026,2026年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",1000,1000,,東京都,2026-04,,,,,1583000,,,158.3
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2026,2026年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",1000,1000,,東京都,2026-04,,,,,1583000,,,158.3
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2026,2026年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",1000,1000,,東京都,2026-03,,,,,1583000,,,158.3
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2025,2025年式,PZターボ ハイルーフ,"1,000km",1000,1000,,福岡県,2026-02,,,,,1050000,,,105.0
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2025,2025年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",1000,1000,,東京都,2025-08,,,,,1583000,,,158.3
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2025,2025年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",1000,1000,,東京都,2025-08,,,,,1583000,,,158.3
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2025,2025年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",1000,1000,,東京都,2025-08,,,,,1583000,,,158.3
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2025,2025年式,PZターボスペシャル ハイルーフ 4WD,"1,000km",1000,1000,,東京都,2025-08,,,,,1583000,,,158.3
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2025,2025年式,PZターボ 4WD,"39,000km",39000,39000,,長野県,2026-02,,,,,1405000,,,140.5
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ 4WD,"2,000km",2000,2000,,宮崎県,2025-04,,,,,1191000,,,119.1
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル ハイルーフ 4WD,"2,000km",2000,2000,,静岡県,2025-08,,,,,1255000,,,125.5
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル,"3,000km",3000,3000,,鳥取県,2025-03,,,,,1355000,,,135.5
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル,"4,000km",4000,4000,,島根県,2025-10,,,,,1533000,,,153.3
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル,"5,000km",5000,5000,,三重県,2025-08,,,,,1540000,,,154.0
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル,"5,000km",5000,5000,,秋田県,2025-08,,,,,1540000,,,154.0
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ,"9,000km",9000,9000,,福島県,2025-08,,,,,1205000,,,120.5
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ,"9,000km",9000,9000,,京都府,2025-08,,,,,1205000,,,120.5
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ ハイルーフ 4WD,"9,000km",9000,9000,,熊本県,2025-04,,,,,1507000,,,150.7
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ 4WD,"13,000km",13000,13000,,高知県,2026-03,,,,,1000000,,,100.0
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ ハイルーフ,"13,000km",13000,13000,,福岡県,2025-07,,,,,1056000,,,105.6
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル,"13,000km",13000,13000,,奈良県,2025-04,,,,,1474000,,,147.4
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル,"14,000km",14000,14000,,岡山県,2025-10,,,,,1240000,,,124.0
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ,"15,000km",15000,15000,,香川県,2025-10,,,,,1382000,,,138.2
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ,"18,000km",18000,18000,,宮崎県,2026-01,,,,,1350000,,,135.0
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル ハイルーフ 4WD,"19,000km",19000,19000,,長野県,2026-04,,,,,1407000,,,140.7
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボスペシャル 4WD,"32,000km",32000,32000,,三重県,2026-02,,,,,1420000,,,142.0
appraisal_record,kurumaerabi_kaitori,9/10724,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/10724/,20260416_145542,スズキ,エブリイワゴン,suzuki-every-wagon,,2024,2024年式,PZターボ,"54,000km",54000,54000,,兵庫県,2026-02,,,,,1146000,,,114.6
