record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2026,2026年式,タフワイルド ターボ,"1,000km",1000,1000,,東京都,2026-01,,,,,1600000,,,160.0
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) Xターボ 4WD,"1,000km",1000,1000,,三重県,2025-12,,,,,1090000,,,109.0
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) G,"1,000km",1000,1000,,大阪府,2025-11,,,,,1284000,,,128.4
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) G 4WD,"1,000km",1000,1000,,岩手県,2025-09,,,,,1301000,,,130.1
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) Xターボ,"1,000km",1000,1000,,神奈川県,2026-03,,,,,1318000,,,131.8
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) G 4WD,"2,000km",2000,2000,,北海道,2026-02,,,,,1165000,,,116.5
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) G 4WD,"3,000km",3000,3000,,京都府,2026-01,,,,,970000,,,97.0
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) G 4WD,"3,000km",3000,3000,,北海道,2026-02,,,,,1165000,,,116.5
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) X,"3,000km",3000,3000,,千葉県,2026-04,,,,,1258000,,,125.8
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) G 4WD,"3,000km",3000,3000,,三重県,2025-08,,,,,1310000,,,131.0
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,タフワイルド 4WD,"3,000km",3000,3000,,神奈川県,2025-10,,,,,1530000,,,153.0
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) G,"8,000km",8000,8000,,京都府,2025-11,,,,,1085000,,,108.5
appraisal_record,kurumaerabi_kaitori,9/22078,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22078/,20260416_145552,スズキ,ハスラー,suzuki-hustler,,2025,2025年式,ハイブリッド(HYBRID) G,"9,000km",9000,9000,,東京都,2025-10,,,,,1110000,,,111.0
