record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2024,2024年式,1.2 ハイブリッド(HYBRID) MF,"6,000km",6000,6000,,石川県,2025-08,,,,,1394000,,,139.4
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2024,2024年式,1.2 ハイブリッド(HYBRID) MF,"6,000km",6000,6000,,徳島県,2025-08,,,,,1394000,,,139.4
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2023,2023年式,1.2 ハイブリッド(HYBRID)  MG,"7,000km",7000,7000,,長崎県,2024-02,,,,,1038000,,,103.8
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2023,2023年式,1.2 ハイブリッド(HYBRID) MV 4WD,"8,000km",8000,8000,,山梨県,2024-12,,,,,1415000,,,141.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2023,2023年式,1.2 ハイブリッド(HYBRID) MF,"8,000km",8000,8000,,京都府,2025-01,,,,,1575000,,,157.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2023,2023年式,1.2 ハイブリッド(HYBRID) MV 4WD,"15,000km",15000,15000,,鹿児島県,2025-10,,,,,1575000,,,157.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2023,2023年式,1.2 ハイブリッド(HYBRID) MF 4WD,0万km,0,0,,石川県,2024-03,,,,,1523000,,,152.3
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MV,"3,000km",3000,3000,,山形県,2023-04,,,,,1174000,,,117.4
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MV,"5,000km",5000,5000,,岡山県,2022-08,,,,,1565000,,,156.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MF,"6,000km",6000,6000,,新潟県,2023-05,,,,,1360000,,,136.0
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MV,"7,000km",7000,7000,,兵庫県,2024-08,,,,,935000,,,93.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MV,"8,000km",8000,8000,,大阪府,2023-03,,,,,1215000,,,121.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID)  MG,"9,000km",9000,9000,,長崎県,2025-10,,,,,810000,,,81.0
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MF,1万km,10000,10000,,愛媛県,2025-05,,,,,1525000,,,152.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MF,"14,000km",14000,14000,,長崎県,2024-06,,,,,1405000,,,140.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MF 4WD,"19,000km",19000,19000,,愛媛県,2024-07,,,,,1500000,,,150.0
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MV,2万km,20000,20000,,茨城県,2024-08,,,,,1130000,,,113.0
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MF,"23,000km",23000,23000,,京都府,2023-07,,,,,1265000,,,126.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MV,"25,000km",25000,25000,,福井県,2024-03,,,,,675000,,,67.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MF,"27,000km",27000,27000,,沖縄県,2025-10,,,,,185000,,,18.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID)  MG 4WD,"33,000km",33000,33000,,福井県,2025-07,,,,,1275000,,,127.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID)  MG 4WD,"33,000km",33000,33000,,香川県,2025-07,,,,,1275000,,,127.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MV,"35,000km",35000,35000,,高知県,2024-07,,,,,1175000,,,117.5
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MF,"55,000km",55000,55000,,大阪府,2025-01,,,,,1304000,,,130.4
appraisal_record,kurumaerabi_kaitori,9/22387,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22387/,20260416_145523,スズキ,イグニス,suzuki-ignis,,2022,2022年式,1.2 ハイブリッド(HYBRID) MF,"55,000km",55000,55000,,長野県,2025-01,,,,,1304000,,,130.4
