record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2015,2015年式,2.4 4WD,"18,000km",18000,18000,,大阪府,2020-07,,,,,1030000,,,103.0
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2015,2015年式,2.4,"26,000km",26000,26000,,徳島県,2019-04,,,,,895000,,,89.5
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2015,2015年式,2.4 4WD,"33,000km",33000,33000,,栃木県,2021-03,,,,,1170000,,,117.0
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2015,2015年式,2.4 4WD,"45,000km",45000,45000,,兵庫県,2023-04,,,,,818000,,,81.8
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2015,2015年式,2.4 4WD,"49,000km",49000,49000,,熊本県,2017-04,,,,,1365000,,,136.5
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2015,2015年式,2.4,"87,000km",87000,87000,,徳島県,2025-11,,,,,409000,,,40.9
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2015,2015年式,2.4 4WD,"145,000km",145000,145000,,京都府,2024-05,,,,,210000,,,21.0
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2015,2015年式,2.4 4WD,0万km,0,0,,大阪府,2019-11,,,,,1405000,,,140.5
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2014,2014年式,2.4,"16,000km",16000,16000,,佐賀県,2018-06,,,,,1116000,,,111.6
appraisal_record,kurumaerabi_kaitori,9/21690,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21690/,20260416_145535,スズキ,キザシ,suzuki-kizashi,,2014,2014年式,2.4 4WD,"47,000km",47000,47000,,茨城県,2021-04,,,,,904000,,,90.4
