record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2014,2014年式,SW TS,"107,000km",107000,107000,,岐阜県,2024-02,,,,,164000,,,16.4
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,SW XS,1万km,10000,10000,,兵庫県,2024-12,,,,,193000,,,19.3
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,SW XS,"26,000km",26000,26000,,東京都,2024-02,,,,,187000,,,18.7
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,リミテッドII,"26,000km",26000,26000,,佐賀県,2026-01,,,,,295000,,,29.5
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,X,"27,000km",27000,27000,,愛知県,2024-01,,,,,59000,,,5.9
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,SW TS,"28,000km",28000,28000,,群馬県,2025-07,,,,,246000,,,24.6
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,SW XS,3万km,30000,30000,,群馬県,2025-04,,,,,397000,,,39.7
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,リミテッドII,"32,000km",32000,32000,,秋田県,2024-02,,,,,171000,,,17.1
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,SW XS,"32,000km",32000,32000,,滋賀県,2024-02,,,,,259000,,,25.9
appraisal_record,kurumaerabi_kaitori,9/20346,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/20346/,20260416_145541,スズキ,パレット,suzuki-palette,,2013,2013年式,X 4WD,"34,000km",34000,34000,,北海道,2025-12,,,,,131000,,,13.1
