record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2025,2025年式,1.2 ハイブリッド(HYBRID)  MZ,"1,000km",1000,1000,,茨城県,2026-01,,,,,1253000,,,125.3
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2025,2025年式,1.2 G スズキ セーフティ サポート,"5,000km",5000,5000,,茨城県,2026-01,,,,,1600000,,,160.0
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2025,2025年式,1.2 G スズキ セーフティ サポート 4WD,"14,000km",14000,14000,,山形県,2026-02,,,,,1350000,,,135.0
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2025,2025年式,1.2 ハイブリッド(HYBRID) MG,"28,000km",28000,28000,,秋田県,2026-01,,,,,1250000,,,125.0
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2024,2024年式,1.2 ハイブリッド(HYBRID)  MZ,"1,000km",1000,1000,,山形県,2024-11,,,,,1235000,,,123.5
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2024,2024年式,1.2 ハイブリッド(HYBRID)  MZ,"1,000km",1000,1000,,茨城県,2024-12,,,,,1754000,,,175.4
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2024,2024年式,1.2 G 4WD,"4,000km",4000,4000,,東京都,2025-02,,,,,1402000,,,140.2
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2024,2024年式,1.2 G 4WD,"4,000km",4000,4000,,佐賀県,2025-02,,,,,1402000,,,140.2
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2024,2024年式,1.2 ハイブリッド(HYBRID)  MZ 4WD,"4,000km",4000,4000,,青森県,2025-01,,,,,1795000,,,179.5
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2024,2024年式,1.2 G 4WD,"5,000km",5000,5000,,山形県,2025-10,,,,,1380000,,,138.0
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2024,2024年式,1.2 ハイブリッド(HYBRID) SZ,"5,000km",5000,5000,,高知県,2025-11,,,,,1650000,,,165.0
appraisal_record,kurumaerabi_kaitori,9/21215,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/21215/,20260416_145611,スズキ,ソリオ,suzuki-solio,,2024,2024年式,1.2 ハイブリッド(HYBRID) SZ,"5,000km",5000,5000,,長崎県,2024-11,,,,,1915000,,,191.5
