record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  XS,"1,000km",1000,1000,,大阪府,2026-02,,,,,1462000,,,146.2
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  GS 4WD,"1,000km",1000,1000,,富山県,2025-10,,,,,1620000,,,162.0
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  XS,"1,000km",1000,1000,,福岡県,2025-12,,,,,1635000,,,163.5
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  XS,"1,000km",1000,1000,,栃木県,2025-06,,,,,1643000,,,164.3
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  XSターボ,"1,000km",1000,1000,,東京都,2025-07,,,,,1800000,,,180.0
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID) XS 衝突被害軽減ブレーキ非装着車 4WD,"1,000km",1000,1000,,北海道,2025-07,,,,,1859000,,,185.9
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  XSターボ,"2,000km",2000,2000,,三重県,2025-04,,,,,1571000,,,157.1
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  XS 4WD,"2,000km",2000,2000,,兵庫県,2026-01,,,,,1761000,,,176.1
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  XSターボ,"3,000km",3000,3000,,大阪府,2026-02,,,,,1776000,,,177.6
appraisal_record,kurumaerabi_kaitori,9/22022,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/22022/,20260416_145549,スズキ,スペーシアカスタム,suzuki-spacia-custom,,2025,2025年式,ハイブリッド(HYBRID)  GS 4WD,"4,000km",4000,4000,,高知県,2025-09,,,,,1635000,,,163.5
