record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2025,2025年式,1.2 ハイブリッド(HYBRID) MZ,"1,000km",1000,1000,,愛知県,2025-11,,,,,1686000,,,168.6
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2025,2025年式,1.4 スポーツ ZC33S ファイナル エディション,"3,000km",3000,3000,,神奈川県,2026-03,,,,,1510000,,,151.0
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2025,2025年式,1.2 ハイブリッド(HYBRID) MZ,"7,000km",7000,7000,,島根県,2025-10,,,,,1710000,,,171.0
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2025,2025年式,1.2 ハイブリッド(HYBRID) MX,"11,000km",11000,11000,,千葉県,2025-11,,,,,1503000,,,150.3
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2025,2025年式,1.2 XG 4WD,0万km,0,0,,岡山県,2025-10,,,,,155000,,,15.5
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2025,2025年式,1.2 ハイブリッド(HYBRID) MZ 4WD,0万km,0,0,,埼玉県,2025-11,,,,,1853000,,,185.3
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2024,2024年式,1.2 ハイブリッド(HYBRID) MX,"1,000km",1000,1000,,滋賀県,2025-08,,,,,1588000,,,158.8
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2024,2024年式,1.2 ハイブリッド(HYBRID) MZ,"3,000km",3000,3000,,福島県,2025-08,,,,,1770000,,,177.0
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2024,2024年式,1.2 ハイブリッド(HYBRID) MZ,"3,000km",3000,3000,,山口県,2025-08,,,,,1770000,,,177.0
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2024,2024年式,1.2 ハイブリッド(HYBRID) MZ 4WD,"3,000km",3000,3000,,愛知県,2025-06,,,,,1795000,,,179.5
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2024,2024年式,1.2 ハイブリッド(HYBRID) MZ 4WD,"4,000km",4000,4000,,福岡県,2025-06,,,,,1735000,,,173.5
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2024,2024年式,1.2 ハイブリッド(HYBRID) MZ 4WD,"4,000km",4000,4000,,静岡県,2025-09,,,,,1855000,,,185.5
appraisal_record,kurumaerabi_kaitori,9/15057,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/9/15057/,20260416_145609,スズキ,スイフト,suzuki-swift,,2024,2024年式,1.2 ハイブリッド(HYBRID) MZ,"5,000km",5000,5000,,佐賀県,2025-06,,,,,1656000,,,165.6
