record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2026,2026年式,ハイブリッド 2.5 Z,"1,000km",1000,1000,,新潟県,2026-02,,,,,6308000,,,630.8
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2026,2026年式,ハイブリッド 2.5 Z,"1,000km",1000,1000,,佐賀県,2026-03,,,,,6445000,,,644.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"1,000km",1000,1000,,佐賀県,2025-12,,,,,4993000,,,499.3
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 X,"1,000km",1000,1000,,神奈川県,2025-11,,,,,5305000,,,530.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"1,000km",1000,1000,,大阪府,2025-11,,,,,5808000,,,580.8
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"1,000km",1000,1000,,大阪府,2026-03,,,,,5957000,,,595.7
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"1,000km",1000,1000,,千葉県,2026-01,,,,,6290000,,,629.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"1,000km",1000,1000,,茨城県,2025-12,,,,,6308000,,,630.8
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"1,000km",1000,1000,,福岡県,2025-12,,,,,6806000,,,680.6
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"1,000km",1000,1000,,大阪府,2025-10,,,,,7218000,,,721.8
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"1,000km",1000,1000,,京都府,2025-10,,,,,7265000,,,726.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z 4WD,"2,000km",2000,2000,,鹿児島県,2026-02,,,,,4820000,,,482.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z 4WD,"2,000km",2000,2000,,栃木県,2026-03,,,,,5523000,,,552.3
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 X,"2,000km",2000,2000,,大阪府,2025-10,,,,,5725000,,,572.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"3,000km",3000,3000,,山梨県,2025-12,,,,,5550000,,,555.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"3,000km",3000,3000,,千葉県,2026-03,,,,,5970000,,,597.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"3,000km",3000,3000,,神奈川県,2026-02,,,,,6308000,,,630.8
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z 4WD,"3,000km",3000,3000,,東京都,2025-12,,,,,6410000,,,641.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"3,000km",3000,3000,,静岡県,2026-01,,,,,6580000,,,658.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"3,000km",3000,3000,,静岡県,2026-02,,,,,6650000,,,665.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"3,000km",3000,3000,,滋賀県,2026-02,,,,,6905000,,,690.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,3.5 エグゼクティブ ラウンジ 4WD,"3,000km",3000,3000,,三重県,2026-03,,,,,7780000,,,778.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 エグゼクティブ ラウンジ,"3,000km",3000,3000,,長野県,2026-01,,,,,8018000,,,801.8
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"4,000km",4000,4000,,愛知県,2025-10,,,,,5472000,,,547.2
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"4,000km",4000,4000,,大阪府,2026-02,,,,,6016000,,,601.6
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"4,000km",4000,4000,,埼玉県,2026-02,,,,,6140000,,,614.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"4,000km",4000,4000,,東京都,2025-11,,,,,6165000,,,616.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"4,000km",4000,4000,,千葉県,2026-01,,,,,6227000,,,622.7
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"4,000km",4000,4000,,福井県,2025-12,,,,,6230000,,,623.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 エグゼクティブ ラウンジ,"4,000km",4000,4000,,千葉県,2025-10,,,,,7450000,,,745.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 X,"5,000km",5000,5000,,長野県,2025-12,,,,,5213000,,,521.3
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z 4WD,"5,000km",5000,5000,,群馬県,2026-03,,,,,5520000,,,552.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"5,000km",5000,5000,,兵庫県,2026-02,,,,,6192000,,,619.2
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"5,000km",5000,5000,,秋田県,2025-12,,,,,7360000,,,736.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,3.5 エグゼクティブ ラウンジ 4WD,"5,000km",5000,5000,,石川県,2025-12,,,,,7785000,,,778.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"6,000km",6000,6000,,千葉県,2026-03,,,,,5808000,,,580.8
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"6,000km",6000,6000,,東京都,2026-03,,,,,5880000,,,588.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"6,000km",6000,6000,,沖縄県,2026-02,,,,,6025000,,,602.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"6,000km",6000,6000,,岐阜県,2026-01,,,,,6175000,,,617.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"6,000km",6000,6000,,滋賀県,2025-10,,,,,6800000,,,680.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"7,000km",7000,7000,,広島県,2026-02,,,,,5180000,,,518.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 X,"7,000km",7000,7000,,島根県,2026-03,,,,,5205000,,,520.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"7,000km",7000,7000,,高知県,2025-11,,,,,6105000,,,610.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 X,"8,000km",8000,8000,,岡山県,2026-03,,,,,4230000,,,423.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"8,000km",8000,8000,,長野県,2025-10,,,,,5999000,,,599.9
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"9,000km",9000,9000,,静岡県,2026-01,,,,,6945000,,,694.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"9,000km",9000,9000,,三重県,2026-02,,,,,7125000,,,712.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 エグゼクティブ ラウンジ,1万km,10000,10000,,三重県,2025-10,,,,,7100000,,,710.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,3.5 エグゼクティブ ラウンジ 4WD,1万km,10000,10000,,富山県,2025-12,,,,,7805000,,,780.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"11,000km",11000,11000,,神奈川県,2026-02,,,,,5547000,,,554.7
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"11,000km",11000,11000,,和歌山県,2026-03,,,,,6000000,,,600.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"12,000km",12000,12000,,静岡県,2026-01,,,,,6145000,,,614.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z 4WD,"13,000km",13000,13000,,秋田県,2026-02,,,,,5380000,,,538.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"13,000km",13000,13000,,兵庫県,2026-03,,,,,5550000,,,555.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z 4WD,"13,000km",13000,13000,,宮崎県,2026-02,,,,,5837000,,,583.7
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 X,"14,000km",14000,14000,,愛知県,2026-01,,,,,5024000,,,502.4
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"14,000km",14000,14000,,埼玉県,2026-03,,,,,6000000,,,600.0
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,3.5 エグゼクティブ ラウンジ 4WD,"14,000km",14000,14000,,愛知県,2026-03,,,,,7515000,,,751.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z,"15,000km",15000,15000,,和歌山県,2026-01,,,,,5945000,,,594.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z E-Four 4WD,"15,000km",15000,15000,,京都府,2026-02,,,,,6365000,,,636.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,3.5 エグゼクティブ ラウンジ 4WD,"17,000km",17000,17000,,滋賀県,2026-03,,,,,7185000,,,718.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,"18,000km",18000,18000,,佐賀県,2026-02,,,,,5762000,,,576.2
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,2.5 Z 4WD,"18,000km",18000,18000,,大分県,2026-02,,,,,5895000,,,589.5
appraisal_record,kurumaerabi_kaitori,1/3491,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/3491/,20260416_012505,トヨタ,アルファード,toyota-alphard,,2025,2025年式,ハイブリッド 2.5 Z,2万km,20000,20000,,鳥取県,2026-03,,,,,5856000,,,585.6
