record_type,source_slug,source_model_key,source_page_type,source_variant_label,source_target_year,fetch_url,collected_at,maker_name,model_name,model_slug,generation_label,target_year,target_year_label,grade_name,mileage_band_label,mileage_min_km,mileage_max_km,color,prefecture,appraisal_date,price_range_text,price_text,price_min_yen,price_max_yen,price_yen,price_min_manen,price_max_manen,price_manen
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2025,2025年式,Z 4WD,"1,000km",1000,1000,,青森県,2026-03,,,,,2777000,,,277.7
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2025,2025年式,Z,"1,000km",1000,1000,,静岡県,2026-01,,,,,3383000,,,338.3
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2025,2025年式,Z 4WD,"1,000km",1000,1000,,岐阜県,2026-02,,,,,3505000,,,350.5
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2025,2025年式,Z,"8,000km",8000,8000,,東京都,2026-03,,,,,1623000,,,162.3
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2025,2025年式,Z,"9,000km",9000,9000,,沖縄県,2026-02,,,,,1716000,,,171.6
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2025,2025年式,G 4WD,"14,000km",14000,14000,,岩手県,2026-03,,,,,2379000,,,237.9
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,G 4WD,"1,000km",1000,1000,,岡山県,2024-10,,,,,2080000,,,208.0
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,Z 4WD,"1,000km",1000,1000,,東京都,2025-03,,,,,3529000,,,352.9
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,Z 4WD,"6,000km",6000,6000,,山梨県,2026-02,,,,,3365000,,,336.5
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,Z,"7,000km",7000,7000,,山形県,2026-03,,,,,1489000,,,148.9
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,Z 4WD,"8,000km",8000,8000,,山口県,2025-05,,,,,3042000,,,304.2
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,Z 4WD,"15,000km",15000,15000,,高知県,2025-10,,,,,3435000,,,343.5
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,Z,"19,000km",19000,19000,,長野県,2026-03,,,,,2729000,,,272.9
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,G,2万km,20000,20000,,東京都,2025-09,,,,,3170000,,,317.0
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2024,2024年式,Z,"26,000km",26000,26000,,秋田県,2026-03,,,,,1815000,,,181.5
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2023,2023年式,Z,"1,000km",1000,1000,,千葉県,2025-06,,,,,3756000,,,375.6
appraisal_record,kurumaerabi_kaitori,1/23263,root,root,,https://www.kurumaerabi.com/kaitori/marketprice/cartype/1/23263/,20260416_012519,トヨタ,bZ4X,toyota-bz4x,,2023,2023年式,Z,"3,000km",3000,3000,,徳島県,2025-04,,,,,2945000,,,294.5
